job_id,job_tags
35BB7E70,QUẢN LÝ KINH DOANH
35BB7E70,BỆNH VIỆN
35BB7E70,NHÀ THUỐC
35BB7E70,KINH DOANH
35BB7E70,sales manager
35BB7E70,Medical Sales Manager
35BB7E70,QUẢN LÝ KINH DOANH KHU VỰC TUYÊN QUANG
35BB7E70,QUẢN LÝ KINH DOANH TUYÊN QUANG
35BB7E5A,Kỹ sư cầu đường Làm việc tại Tây Ninh
35BB7E5A,Thiết kế cầu đường
35BB7E5A,Xây dựng
35BB7E5A,Điều hành
35BB7E5D,Kỹ sư nông học Làm việc tại Tây Ninh
35BB7E5D,Công nghệ sinh học
35BB7E5D,Hóa học
35BB7E5D,Bảo vệ thực vật
35BB7E59,Đại diện kinh doanh
35BB7E59,Nhân viên phòng kinh doanh
35BB7E59,Nhân viên bán hàng
35BB7E59,Đại diện bán hàng
35BB7E59,Telesales
35BB7E59,Salesman
35BB7E59,Sales Engineer
35BB7E59,Sales Executive
35BB7E59,Chuyên Viên Kinh Doanh
35BB7E59,Sales Dept
35BB7E5F,Unknown
35BB7E60,Unknown
35BB7E5C,Kỹ sư cơ khí Làm việc tại Tây Ninh
35BB7E5C,Cơ khí
35BB7E5C,Sửa chữa
35BB7E5C,Bảo trì
35BB7E5C,Tự động hóa
35BB7E5B,Kỹ sư thủy lợi Làm việc tại Tây Ninh
35BB7E5B,Thủy nông
35BB7E5B,Tài nguyên nước
35BB7E5B,Nông nghiệp
35BB7E61,chăm sóc khách hàng
35BB7E61,Nhân viên phòng
35BA85B1,General Accountant
35BA85B1,Kế toán thuế
35BA85B1,Nhân viên kế toán
35BA85B1,Kế toán viên
35BB7E5E,HR Administration Manager
35BB7E5E,HR & Admin Manager
35BB7E5E,HR & Admin Director
35BB7E5E,HR Administration Director
35BB7E5E,Giám đốc hành chính nhân sự
35BB7E5E,Trưởng phòng HCNS
35BB7E5E,Giám đốc HCNS
35BB7E5E,Human Resource and Administration Manager
35BB7E5E,Trưởng phòng hành chánh nhân sự
35BB7E63,Unknown
35BB7E62,Unknown
35BB7E64,Đại diện bán hàng
35BB7E64,tư vấn bán hàng
35BB7E64,Salesman
35BB7E64,Sales Representative
35BB7E64,nhân viên kinh doanh
35BB7E64,đại diện kinh doanh
35BB7E64,NVKD
35BB7E64,tư vấn kinh doanh
35BB7E64,bán hàng
35BB7E54,NHÂN VIÊN BÁN HÀNG CƠ KHÍ Tại xưởng
35BB7E54,Đại diện bán hàng
35BB7E54,tư vấn bán hàng
35BB7E54,Salesman
35BB7E54,Sales Representative
35BB7E54,nhân viên kinh doanh
35BB7E54,đại diện kinh doanh
35BB7E54,NVKD
35BB7E54,tư vấn kinh doanh
35BB7E54,bán hàng
35BB7E66,NHÂN VIÊN KINH DOANH Lĩnh vực Cơ khí ngũ kim - Tiếng Anh thông thạo
35BB7E66,Đại diện kinh doanh
35BB7E66,Nhân viên phòng kinh doanh
35BB7E66,Nhân viên bán hàng
35BB7E66,Đại diện bán hàng
35BB7E66,Telesales
35BB7E66,Salesman
35BB7E66,Sales Engineer
35BB7E66,Sales Executive
35BB7E66,Chuyên Viên Kinh Doanh
35BB7E66,Sales Dept
35BB7E56,Hội sở quận Hà Đông
35BB7E56,Hội sở
35BB7E56,Hành chính Hà Đông
35BB7E58,CHUYÊN VIÊN XUẤT NHẬP KHẨU  HÀ NỘI
35BB7E58,Nhân viên xuất nhập khẩu
35BB7E58,Export Import Officer
35BB7E58,Export Import Executive
35BB7E58,Export Import Specialist
35BB7E58,Export Import Assistant
35BB7E58,Chuyên viên xuất khẩu đồ nội thất
35BB7E53,Salesman
35BB7E53,nhân viên kinh doanh
35BB7E53,bán hàng
35BB7E53,Sales Engineer
35BB7E53,Technical Sales Engineer
35BB7E53,Nhân viên kinh doanh dự án
35BB7E53,Chuyên Viên Bán Hàng Dự Án
35BB7E53,Sales Staff
35BB7E53,Sales Executive
35BB7E53,Sales Engineer bán hàng kỹ thuật
35BB7E32,Unknown
35BB7E55,[Thanh Hóa] Nhân viên Tư vấn thẩm mỹ thu nhập đến Tr++
35BB7E55,Chuyên viên tư vấn
35BB7E55,Tư vấn viên
35BB7E55,Consultant
35BB7E55,Counsellor
35BB7E55,Consultant Executive
35BB2A11,SEO Specialist
35BB2A11,Chuyên viên phân tích chiến lược
35BB2A11,Chiến lược SEO
35BB2A11,Nhân viên chiến lược
35BB2A11,Chuyên viên phân tích
35BB2A12,Business development officer
35BB2A12,Chuyên viên phát triển
35BB2A12,Business Development Executive
35BB2A12,Business Development Specialist
35BB2A12,Business Development Staff
35BB2A12,Chuyên viên phát triển kinh doanh
35BB290B,Unknown
35BB2973,Cán Bộ Kinh Doanh
35BB2973,sales admin
35BB2973,sales
35BB2973,kinh doanh
35BB2973,Cán Bộ Kinh Doanh - Khu vực Quảng Nam Quảng Ngãi
35BB297D,Unknown
35BB2A1A,chăm sóc khách hàng
35BB2A1A,Nhân viên phòng
35BB2A1A,Chuyên viên chăm sóc khách hàng
35BB2A0B,Trưởng phòng kinh doanh  Sales Manager
35BB2A0B,Trưởng phòng kinh doanh logistic Sales Manager
35BB2A0B,Trưởng phòng kinh doanh logistics Sales Manager
35BB2A0B,KẾ TOÁN TỔNG HỢP GENERAL ACCOUNTANT
35BB2A26,Nhân viên Chăm sóc khách hàng chăm sóc Nhà bán hàng
35BB2A26,Nhân viên dịch vụ khách hàng
35BB2A26,Customer care staff
35BB2A26,Customer service staff
35BB2A26,Customer service executive
35BB2A26,Nhân viên hỗ trợ khách hàng
35BB2A26,Customer service representative
35BB2A26,Customer services
35BB2A26,trực tổng đài
35BB256D,DJRecruit Recruitment Director – Ho Chi Minh City Vietnam – Competitive Base + PnL Bonus
35BB256D,Nhân sự
35BB256D,HR
35BB256D,Human resource
35BB7E29,Unknown
35BB29BF,Sales in Agricultural product
35BB29BF,Boutique Sales Associate
35BB29BF,Accounts Officer
35BB29BF,Account Representative
35BB29BF,Network Solution Account Manager
35BB29BF,Nhân viên điều phối khách hàng
35BB29BF,Nhân viên kinh doanh phụ trách dự án
35BB29BF,Nhân viên kinh doanh phụ gia thực phẩm
35BB29BF,Nhân viên tư vấn bán hàng kênh siêu thị
35BB29BF,Nhân viên Sales hóa chất
35BB7E2B,Unknown
35BB7B16,Nhân viên hành chính nhân sự
35BB7B16,Nhân viên hành chính
35BB7B16,Admin Staff
35BB7B16,Admin Officer
35BB7B16,Thư ký hành chánh
35BB7B16,Nhân viên hành chánh
35BB7B16,Admin Executive
35BB7B16,Admin Assistant
35BB7B16,Trợ lý hành chính
35BB7B16,Nhân viên hành chánh nhân sự
35BB7E30,KẾ TOÁN TỔNG HỢP KIÊM HCNS Lĩnh vực Thương Mại - SX Cơ khí
35BB7E30,General Accountant
35BB7E2D,Đại diện kinh doanh
35BB7E2D,Nhân viên phòng kinh doanh
35BB7E2D,Nhân viên bán hàng
35BB7E2D,Đại diện bán hàng
35BB7E2D,Telesales
35BB7E2D,Salesman
35BB7E2D,Sales Engineer
35BB7E2D,Sales Executive
35BB7E2D,Chuyên Viên Kinh Doanh
35BB7E2D,Sales Dept
35BB29CE,Giảng viên
35BB29CE,Lecturer
35BB29CE,master of economics
35BB29CE,master of finance
35BB29CE,Trợ giảng
35BB7E2F,Unknown
35BB29D6,DJRecruit Recruitment Team Manager – Ho Chi Minh City Vietnam – USD –  monthly base + Commission + Override
35BB29D6,Nhân sự
35BB29D6,HR
35BB29D6,Human resource
35BB7E31,Nhân viên phiên dịch tiếng Trung Văn Lâm Hưng yên
35BB7E31,Biên dịch viên tiếng Trung Quốc
35BB7E31,Chinese Interpreter
35BB7E31,Chinese Translator
35BB7E31,Biên phiên dịch tiếng Trung
35BB29DA,Chăm sóc khách hàng
35BB29DA,Xử lý các tình huống linh hoạt
35BB29DA,Chịu được áp lực công việc
35BB29DA,Làm việc độc lập/theo nhóm
35BB29D3,DJRecruit Senior Recruiters – Ho Chi Minh City Vietnam – USD –  Monthly Base + Commission
35BB29D3,Chuyên viên tuyển dụng
35BB29D3,Nhân viên tuyển dụng
35BB29D3,Executive Recruitment
35BB2982,Unknown
35BB29FB,Information Clerk Chuyên Viên Quầy Thông Tin
35BB29FB,Thư ký
35BB29FB,Secretary
35BB29FB,English
35BB29E1,Unknown
35BB29AF,Tài xế
35BB29AF,Driver
35BB29AF,Nhân viên lái xe tải
35BB29AF,Tài xế xe tải
35BB29AF,Tài xế lái xe
35BB2997,Chuyên viên đối ngoại
35BB2997,nhân viên môi giới
35BB2997,nhân viên giao dịch ngân hàng
35BB2997,nhân viên giao dịch
35BB2997,Giao dịch viên
35BB2997,Lễ tân
35BB2998,Unknown
35BB29F4,Senior Management Reporting
35BB29F4,Senior Management Reporting Analyst
35BB28D6,Unknown
35BB29AE,Unknown
35BB299D,Unknown
35BB29D5,Chuyên viên Quản lý chỉ tiêu
35BB29D5,Chuyên viên Quản lý Chỉ tiêu và Hiệu quả KHDN Lớn
35BB29D5,Chuyên viên Quản lý Chỉ tiêu và Hiệu quả KHDN
35BB297F,Unknown
35BB2980,Nhân viên kinh doanh qua điện thoại
35BB2980,Nhân viên bán hàng qua điện thoại
35BB2980,Nhân viên chăm sóc khách hàng
35BB2980,Chuyên viên chăm sóc khách hàng
35BB2980,Nhân viên call center
35BB2980,Nhân Viên Telesale
35BB2980,Nhân viên bán hàng
35BB2980,Sales Staff
35BB2980,Nhân viên kinh doanh
35BB29C6,Chief Mechanic
35BB29C6,Mechanic Manager
35BB28D8,Tax Accountant
35BB28D8,Taxtation Accountant
35BB29C0,Commercial Audit Executive
35BB29C0,Chuyên viên kiểm toán nội bộ
35BB29C0,Kiểm soát viên nội bộ
35BB29C0,Kiểm toán viên nội bộ
35BB29C0,Chuyên viên kiểm soát nội bộ
35BB29C0,Compliance Auditor
35BB29C0,Kiểm toán viên
35BB29C0,Auditing supervisor
35BB29C0,Kiểm toán tư nhân
35BB29C0,Kiểm toán nhà nước
35BB29B6,Chuyên viên tín dụng
35BB29B6,Nhân viên tín dụng
35BB29B6,giám đốc tín dụng
35BB29B6,Giám đốc/ Chuyên viên tín dụng - Miền Đông
35BB29B5,Officer Performance Management - Billing  Months Urgent
35BB29B5,Associates  Accountant
35BB29B5,billing
35BB29B5,Junior Accountant
35BB29B5,Payment accountant
35BB2937,Unknown
35BB293C,Nhân viên kế toán
35BB293C,Accountant
35BB293C,Junior Accountant
35BB293C,Chuyên viên kế toán
35BB293C,Nhân viên kế toán kiêm văn phòng
35BB291B,Chuyên viên Tư Vấn
35BB291B,Nhân viên tư vấn
35BB291B,Tư vấn viên
35BB291B,Consultant
35BB291B,Counsellor
35BB291B,Consultant Executive
35BB291B,Chuyên viên UB Chuyên viên Tư vấn
35BB291B,Priority
35BB291B,Khách hàng Ưu tiên
35BB291B,Dịch vụ Khách hàng
35BB2919,CV Quan hệ khách hàng cá nhân
35BB2919,Chuyên viên Khách hàng Cá nhân
35BB2919,KHCN
35BB2919,CVKHCN
35BB2919,Khách hàng cá nhân
35BB2919,Tư vấn tài chính
35BB2919,Chuyên viên Khách hàng Cá nhân - Khu vực Hà Nội
35BB2919,RBO
35BB2919,RB
35BB2919,Chuyên viên Khách hàng Cá nhân Level   - Khu vực Hà Nội
35BB2919,Thường Tín
35BB291F,Purchasing
35BB291F,Nhân viên mua hàng  Staff
35BB291F,Associates  Accountant
35BB291F,Staff/ Executive/ Supervisor/ Manager
35BB291F,purchasing staff
35BB291F,Executive
35BB291F,manager
35BB291F,specialist
35BB291F,Supervisor
35BB291F,officier
35BB291F,POSCO
35BB291F,Hanwa
35BB291F,Kobelco
35BB291F,Marubeni
35BB291F,steel
35BB291F,Hanoi Steel Center
35BB291F,Tokyo Seiden
35BB2A23,ASIA Environment and  Social Impact Assessment Manager solar wind garment footwear
35BB2A23,Purchasing
35BB2A23,Nhân viên mua hàng  Staff
35BB2A23,Associates  Accountant
35BB2A23,Staff/ Executive/ Supervisor/ Manager
35BB2A23,purchasing staff
35BB2A23,Executive
35BB2A23,specialist
35BB2A23,Coordinator
35BB2A23,Supervisor
35BB2A23,officier
35BB2A23,solar
35BB2A23,wind
35BB2A23,renewable
35BB2A23,garment
35BB2A23,sporting goods
35BB2A23,footwear
35BB291D,CV Quan hệ khách hàng cá nhân
35BB291D,Chuyên viên Khách hàng Cá nhân
35BB291D,KHCN
35BB291D,CVKHCN
35BB291D,Khách hàng cá nhân
35BB291D,Tư vấn tài chính
35BB291D,Chuyên viên Khách hàng Cá nhân - Khu vực Hà Nội
35BB291D,RBO
35BB291D,RB
35BB291D,Chuyên viên Khách hàng Cá nhân Level   - Khu vực Hà Nội
35BB2933,lT trainer Project Manager
35BB2933,Site Secretary
35BB2933,Thư ký công trường
35BB2933,Trưởng ban quản lý dự án
35BB2933,Phó ban quản lý dự án
35BB290C,Kiểm soát viên nội bộ
35BB290C,Kiểm toán viên nội bộ
35BB290C,Chuyên viên kiểm soát nội bộ
35BB290C,Compliance Auditor
35BB290C,Kiểm toán viên
35BB290C,Auditing supervisor
35BB290C,Kiểm toán tư nhân
35BB290C,Kiểm toán nhà nước
35BB290C,Auditor
35BB290C,Internal Auditor
35BB290C,Nhân viên kế toán
35BB290C,Chuyên viên kế toán
35BB290C,Kế toán viên
35BB290C,Kế toán tổng hợp
35BB290C,Kế toán quản trị
35BB290C,Kiểm soát viên nội bộ tài chính
35BB2912,Unknown
35BB29EF,Unknown
35BB2911,Giám đốc
35BB299C,Unknown
35BB29E4,- Hà Nội
35BB29E4,Telesales Manager
35BB29E4,Trưởng Phòng Kinh Doanh Ô tô
35BB29E4,Sales Marketing Director
35BB29E4,Digital  Business Development Manager
35BB29E4,Giám đốc phát triển kinh doanh
35BB29E4,Quản lý kinh doanh khu vực
35BB29E4,Area Sales Manager Out of home channel
35BB29E4,Senior Group Account Manager
