job_id,hinh_thuc
35BB7E70,Nhân viên chính thức
35BB7E5A,Nhân viên chính thức
35BB7E5D,Nhân viên chính thức
35BB7E59,Nhân viên chính thức
35BB7E5F,Nhân viên chính thức
35BB7E5F,Thực tập
35BB7E60,Nhân viên chính thức
35BB7E5C,Nhân viên chính thức
35BB7E5B,Nhân viên chính thức
35BB7E61,Nhân viên chính thức
35BA85B1,Nhân viên chính thức
35BB7E5E,Nhân viên chính thức
35BB7E63,Nhân viên chính thức
35BB7E62,Nhân viên chính thức
35BB7E64,Nhân viên chính thức
35BB7E64,Bán thời gian
35BB7E64,Thực tập
35BB7E54,Nhân viên chính thức
35BB7E66,Nhân viên chính thức
35BB7E56,Nhân viên chính thức
35BB7E58,Nhân viên chính thức
35BB7E53,Nhân viên chính thức
35BB7E32,Nhân viên chính thức
35BB7E55,Nhân viên chính thức
35BB2A11,Nhân viên chính thức
35BB2A12,Nhân viên chính thức
35BB290B,Nhân viên chính thức
35BB2973,Nhân viên chính thức
35BB297D,Nhân viên chính thức
35BB2A1A,Nhân viên chính thức
35BB2A0B,Nhân viên chính thức
35BB2A26,Nhân viên chính thức
35BB256D,Nhân viên chính thức
35BB7E29,Nhân viên chính thức
35BB29BF,Nhân viên chính thức
35BB7E2B,Unknown
35BB7B16,Unknown
35BB7E30,Nhân viên chính thức
35BB7E2D,Nhân viên chính thức
35BB29CE,Nhân viên chính thức
35BB7E2F,Nhân viên chính thức
35BB29D6,Nhân viên chính thức
35BB7E31,Nhân viên chính thức
35BB29DA,Nhân viên chính thức
35BB29D3,Nhân viên chính thức
35BB2982,Nhân viên chính thức
35BB29FB,Nhân viên chính thức
35BB29E1,Nhân viên chính thức
35BB29AF,Nhân viên chính thức
35BB2997,Nhân viên chính thức
35BB2998,Nhân viên chính thức
35BB29F4,Nhân viên chính thức
35BB28D6,Nhân viên chính thức
35BB29AE,Thực tập
35BB299D,Nhân viên chính thức
35BB29D5,Nhân viên chính thức
35BB297F,Nhân viên chính thức
35BB2980,Nhân viên chính thức
35BB29C6,Nhân viên chính thức
35BB28D8,Nhân viên chính thức
35BB29C0,Nhân viên chính thức
35BB29B6,Nhân viên chính thức
35BB29B5,Thời vụ/ Nghề tự do
35BB2937,Nhân viên chính thức
35BB293C,Nhân viên chính thức
35BB291B,Nhân viên chính thức
35BB2919,Nhân viên chính thức
35BB291F,Nhân viên chính thức
35BB2A23,Nhân viên chính thức
35BB291D,Nhân viên chính thức
35BB2933,Nhân viên chính thức
35BB290C,Nhân viên chính thức
35BB2912,Nhân viên chính thức
35BB29EF,Nhân viên chính thức
35BB2911,Nhân viên chính thức
35BB299C,Nhân viên chính thức
35BB29E4,Nhân viên chính thức
35BB2917,Nhân viên chính thức
35BB290F,Nhân viên chính thức
35BB2921,Nhân viên chính thức
35BB7CD7,Nhân viên chính thức
35BB61E0,Nhân viên chính thức
35BB2908,Nhân viên chính thức
35BB4AEA,Unknown
35BB7D60,Nhân viên chính thức
35BB4A25,Nhân viên chính thức
35BB7E27,Unknown
35BB7DA4,Nhân viên chính thức
35BB751F,Nhân viên chính thức
35BB6751,Unknown
35BB7ACA,Nhân viên chính thức
35BB7D42,Nhân viên chính thức
35BB7553,Unknown
35BB6219,Nhân viên chính thức
35BB7DB6,Unknown
35BB7CF2,Nhân viên chính thức
35BB5426,Nhân viên chính thức
35BB7557,Unknown
35BB49D9,Nhân viên chính thức
35BB7E1C,Nhân viên chính thức
35BB5435,Nhân viên chính thức
35BB7C5A,Nhân viên chính thức
35BB5005,Nhân viên chính thức
35BA8750,Nhân viên chính thức
35BB5473,Nhân viên chính thức
35BB544C,Nhân viên chính thức
35BB525E,Nhân viên chính thức
35BB53E8,Nhân viên chính thức
35BB53DD,Nhân viên chính thức
35BB535F,Nhân viên chính thức
35BB543E,Nhân viên chính thức
35BB5424,Nhân viên chính thức
35BB5445,Nhân viên chính thức
35BB53B6,Nhân viên chính thức
35BB53F4,Nhân viên chính thức
35BB5371,Nhân viên chính thức
35BB53F1,Nhân viên chính thức
35BB535D,Nhân viên chính thức
35BB53D7,Nhân viên chính thức
35BB5404,Nhân viên chính thức
35BB5372,Nhân viên chính thức
35BB5362,Nhân viên chính thức
35BB536F,Nhân viên chính thức
35BB536E,Nhân viên chính thức
35BB534D,Nhân viên chính thức
35BB534C,Nhân viên chính thức
35BB5396,Nhân viên chính thức
35BB5348,Nhân viên chính thức
35BB534A,Nhân viên chính thức
35BB5370,Nhân viên chính thức
35BB5349,Nhân viên chính thức
35BB6458,Nhân viên chính thức
35BB6464,Nhân viên chính thức
35BB643F,Nhân viên chính thức
35BB649F,Nhân viên chính thức
35BB6461,Nhân viên chính thức
35BB64AD,Nhân viên chính thức
35BB641F,Nhân viên chính thức
35BB640D,Nhân viên chính thức
35BB53C6,Nhân viên chính thức
35BB539E,Nhân viên chính thức
35BB546C,Nhân viên chính thức
35BB53EA,Nhân viên chính thức
35BB53F2,Nhân viên chính thức
35BB53CA,Nhân viên chính thức
35BB528D,Nhân viên chính thức
35BB64A5,Nhân viên chính thức
35BB648B,Nhân viên chính thức
35BB6449,Nhân viên chính thức
35BB5356,Nhân viên chính thức
35BB6450,Nhân viên chính thức
35BB645F,Nhân viên chính thức
35BB64A0,Nhân viên chính thức
35BB6417,Nhân viên chính thức
35BB64A3,Nhân viên chính thức
35BB6484,Nhân viên chính thức
35BB640E,Nhân viên chính thức
35BB646A,Nhân viên chính thức
35BB6459,Nhân viên chính thức
35BB642E,Nhân viên chính thức
35BB7185,Nhân viên chính thức
35BB7188,Nhân viên chính thức
35BB640F,Nhân viên chính thức
35BB717C,Nhân viên chính thức
35BB7180,Nhân viên chính thức
35BB717D,Nhân viên chính thức
35BB71C2,Nhân viên chính thức
35BB71FB,Nhân viên chính thức
35BB71E3,Nhân viên chính thức
35BB71C7,Nhân viên chính thức
35BB71BB,Nhân viên chính thức
35BB71CB,Nhân viên chính thức
35BB71E2,Nhân viên chính thức
35BB71BC,Nhân viên chính thức
35BB719E,Nhân viên chính thức
35BB71D8,Nhân viên chính thức
35BB71E6,Unknown
35BB7205,Nhân viên chính thức
35BB6B63,Nhân viên chính thức
35BB71DE,Nhân viên chính thức
35BB7E23,Nhân viên chính thức
35BB7E25,Nhân viên chính thức
35BB7E24,Nhân viên chính thức
35BB7E21,Nhân viên chính thức
35BB71AF,Nhân viên chính thức
35BB74DF,Nhân viên chính thức
35BB7E26,Nhân viên chính thức
35B99BD5,Nhân viên chính thức
35BB71B5,Nhân viên chính thức
35BB71B2,Nhân viên chính thức
35BB71B0,Nhân viên chính thức
35BB71A6,Unknown
35BB6033,Nhân viên chính thức
35BB71B6,Nhân viên chính thức
35BB719B,Nhân viên chính thức
35BB71DB,Nhân viên chính thức
35BB7DE9,Nhân viên chính thức
35BB7DE7,Nhân viên chính thức
35BB7DE6,Nhân viên chính thức
35BB7DEB,Nhân viên chính thức
35BB7DEA,Nhân viên chính thức
35BB7DEE,Nhân viên chính thức
35BB7DEC,Nhân viên chính thức
35BB7DEF,Nhân viên chính thức
35BB7DF0,Nhân viên chính thức
35BB7DED,Nhân viên chính thức
35BB7DBD,Nhân viên chính thức
35BB7DF3,Nhân viên chính thức
35BB7DF1,Nhân viên chính thức
35BB7DB1,Unknown
35BB7DB4,Nhân viên chính thức
35BB7DBA,Nhân viên chính thức
35BB7DB3,Nhân viên chính thức
35B9AB4F,Nhân viên chính thức
35BB7D86,Unknown
35BB7DB7,Nhân viên chính thức
35BB7DB8,Nhân viên chính thức
35BB7DB9,Nhân viên chính thức
35BB7DB5,Nhân viên chính thức
35BB7DBF,Unknown
35BB7DBE,Nhân viên chính thức
35BB7DBC,Nhân viên chính thức
35BB7DC1,Nhân viên chính thức
35BB7D85,Nhân viên chính thức
35BB7D6A,Nhân viên chính thức
35BB7D74,Nhân viên chính thức
35BB7D15,Nhân viên chính thức
35BB7D6F,Nhân viên chính thức
35BB7D72,Nhân viên chính thức
35BB7D77,Nhân viên chính thức
35BB7DC0,Nhân viên chính thức
35BB7D7C,Nhân viên chính thức
35BB7D76,Nhân viên chính thức
35BB7D75,Nhân viên chính thức
35BB7D78,Nhân viên chính thức
35B292D2,Unknown
35BB7D37,Nhân viên chính thức
35BB7D3B,Nhân viên chính thức
35BB7D3C,Nhân viên chính thức
35BB7D3D,Nhân viên chính thức
35BB7D7E,Nhân viên chính thức
35BB7D7A,Nhân viên chính thức
35BB7D18,Nhân viên chính thức
35BB7D3F,Nhân viên chính thức
35BB7D41,Thời vụ/ Nghề tự do
35BB7D3E,Nhân viên chính thức
35BB7D40,Nhân viên chính thức
35BB7D33,Nhân viên chính thức
35BB7D4A,Nhân viên chính thức
35BB7D45,Nhân viên chính thức
35BB7D47,Nhân viên chính thức
35BB7CF1,Nhân viên chính thức
35BB7CF4,Nhân viên chính thức
35BB7CF3,Nhân viên chính thức
35BB7D49,Nhân viên chính thức
35BB7CBA,Nhân viên chính thức
35BB7CF6,Nhân viên chính thức
35BB7CEE,Nhân viên chính thức
35BB7CF8,Nhân viên chính thức
35BB3882,Nhân viên chính thức
35BB7CFB,Nhân viên chính thức
35BB7CF7,Nhân viên chính thức
35BB7CFE,Nhân viên chính thức
35BB7D00,Nhân viên chính thức
35BB7CFC,Nhân viên chính thức
35BB7CFF,Nhân viên chính thức
35BB7D02,Thực tập
35BB7CF9,Nhân viên chính thức
35BB7D04,Nhân viên chính thức
35BB7CB8,Nhân viên chính thức
35BB7D03,Nhân viên chính thức
35BB7C54,Nhân viên chính thức
35BB7C61,Nhân viên chính thức
