City,job_id,company_id
Tuyên Quang,35BB7E70,C01796
Tây Ninh,35BB7E5A,C01021
Tây Ninh,35BB7E5D,C01021
Hồ Chí Minh,35BB7E59,C01163
Hà Nội,35BB7E5F,C01266
Hà Nội,35BB7E60,C00960
Tây Ninh,35BB7E5C,C01021
Tây Ninh,35BB7E5B,C01021
Hà Nội,35BB7E61,C00960
Hồ Chí Minh,35BA85B1,C00363
Hồ Chí Minh,35BB7E5E,C00077
Hà Nội,35BB7E63,C00960
Hà Nội,35BB7E62,C00960
Hà Nội,35BB7E64,C00960
Bình Dương,35BB7E54,C00361
Bình Dương,35BB7E66,C00361
Hà Nội,35BB7E56,C01583
Hà Nội,35BB7E58,C00919
Hồ Chí Minh,35BB7E53,C01512
Hà Nội,35BB7E53,C01512
Hà Nội,35BB7E32,C01234
Thanh Hóa,35BB7E55,C00567
Hồ Chí Minh,35BB2A11,C01345
Hà Nội,35BB2A12,C01766
Hồ Chí Minh,35BB290B,C00063
Quảng Ngãi,35BB2973,C01776
Quảng Nam,35BB2973,C01776
Hồ Chí Minh,35BB297D,C01148
Hà Nội,35BB2A1A,C01766
Hải Phòng,35BB2A0B,C01820
Hồ Chí Minh,35BB2A0B,C01820
Hà Nội,35BB2A26,C01766
Hồ Chí Minh,35BB256D,C00077
Hồ Chí Minh,35BB7E29,C01572
Hồ Chí Minh,35BB29BF,C00523
Hà Nội,35BB29BF,C00523
Bà Rịa - Vũng Tàu,35BB7E2B,C01464
Hà Nội,35BB7B16,C01797
Bình Dương,35BB7E30,C00361
Sóc Trăng,35BB7E2D,C01096
Bình Dương,35BB29CE,C01811
Hồ Chí Minh,35BB7E2F,C00606
Hồ Chí Minh,35BB29D6,C01400
Hưng Yên,35BB7E31,C00943
Sóc Trăng,35BB29DA,C01588
Bình Dương,35BB29DA,C01588
Tây Ninh,35BB29DA,C01588
Hồ Chí Minh,35BB29D3,C01400
Hồ Chí Minh,35BB2982,C00284
Hồ Chí Minh,35BB29FB,C01448
Hồ Chí Minh,35BB29E1,C01833
Quảng Nam,35BB29AF,C00090
Bình Định,35BB2997,C01593
Hồ Chí Minh,35BB2998,C01559
Hồ Chí Minh,35BB29F4,C01433
Hà Nội,35BB28D6,C01146
Hồ Chí Minh,35BB29AE,C00057
Long An,35BB29AE,C00057
Hà Nội,35BB299D,C01710
Hà Nội,35BB29D5,C01588
Hồ Chí Minh,35BB297F,C01689
Hồ Chí Minh,35BB2980,C00904
Hồ Chí Minh,35BB29C6,C00499
Hà Nội,35BB28D8,C01261
Bình Dương,35BB29C0,C01171
Bà Rịa - Vũng Tàu,35BB29B6,C01584
Đồng Nai,35BB29B6,C01584
Tây Ninh,35BB29B6,C01584
Hồ Chí Minh,35BB29B5,C01665
Hà Nội,35BB2937,C00631
Hà Nội,35BB293C,C00358
Hà Nội,35BB291B,C01585
Hà Nội,35BB2919,C01585
Hà Nội,35BB291F,C00118
Hồ Chí Minh,35BB2A23,C00077
Hà Nội,35BB291D,C01585
Hà Nội,35BB2933,C01042
Hồ Chí Minh,35BB290C,C00373
Hồ Chí Minh,35BB2912,C00924
Đồng Nai,35BB29EF,C00077
Hồ Chí Minh,35BB2911,C01359
Long An,35BB2911,C01359
Bình Dương,35BB299C,C00069
Hà Nội,35BB29E4,C01766
Hà Nội,35BB2917,C00118
Hà Nội,35BB290F,C01364
Hà Nội,35BB2921,C01585
Hồ Chí Minh,35BB7CD7,C00353
Hà Nội,35BB61E0,C00285
Hà Nội,35BB2908,C00223
Hồ Chí Minh,35BB2908,C00223
Đà Nẵng,35BB4AEA,C01717
Hồ Chí Minh,35BB7D60,C01729
Hồ Chí Minh,35BB4A25,C00185
Hồ Chí Minh,35BB7E27,C01788
Hồ Chí Minh,35BB7DA4,C01242
Hồ Chí Minh,35BB751F,C00247
Hồ Chí Minh,35BB6751,C00856
Hà Nội,35BB6751,C00856
Hồ Chí Minh,35BB7ACA,C00865
Bình Dương,35BB7D42,C01339
Bình Dương,35BB7553,C00873
Bình Dương,35BB6219,C01248
Hồ Chí Minh,35BB7DB6,C01516
Hà Nội,35BB7CF2,C00462
Long An,35BB5426,C01579
Hồ Chí Minh,35BB5426,C01579
Bình Dương,35BB7557,C00873
Hồ Chí Minh,35BB49D9,C01093
Hà Nội,35BB7E1C,C00195
Hồ Chí Minh,35BB5435,C00557
Hà Nội,35BB7C5A,C00691
Hồ Chí Minh,35BB5005,C01251
Hồ Chí Minh,35BA8750,C01482
Hà Nội,35BB5473,C01382
Hồ Chí Minh,35BB544C,C00557
Hồ Chí Minh,35BB525E,C00076
An Giang,35BB53E8,C00401
Hà Nội,35BB53DD,C00283
Phú Thọ,35BB535F,C00697
Hồ Chí Minh,35BB543E,C00262
Hà Nội,35BB5424,C00399
Lâm Đồng,35BB5445,C00628
Hưng Yên,35BB53B6,C00697
Nam Định,35BB53F4,C00697
Hà Nội,35BB5371,C00697
Nam Định,35BB53F1,C00697
Phú Thọ,35BB535D,C00697
Hà Nội,35BB53D7,C01261
Hà Nội,35BB5404,C00830
Thanh Hóa,35BB5404,C00830
Hà Nội,35BB5372,C00697
Phú Thọ,35BB5362,C00697
Hà Nội,35BB536F,C00697
Hà Nội,35BB536E,C00697
Thái Bình,35BB534D,C00697
Thái Bình,35BB534C,C00697
Hà Nội,35BB5396,C00830
Thái Bình,35BB5348,C00697
Thái Bình,35BB534A,C00697
Hà Nội,35BB5370,C00697
Thái Bình,35BB5349,C00697
Hà Nội,35BB6458,C01708
Hà Nội,35BB6464,C00517
Hà Nam,35BB6464,C00517
Hưng Yên,35BB6464,C00517
Hà Nội,35BB643F,C01387
Hà Nội,35BB649F,C01693
Hà Nội,35BB6461,C01708
Hà Nội,35BB64AD,C01278
Hồ Chí Minh,35BB641F,C00191
Bắc Ninh,35BB640D,C00095
Hồ Chí Minh,35BB53C6,C00757
Long An,35BB539E,C00119
Thái Nguyên,35BB546C,C00155
Đồng Nai,35BB53EA,C00103
Hồ Chí Minh,35BB53F2,C00796
Hồ Chí Minh,35BB53CA,C00757
Long An,35BB528D,C00286
Hồ Chí Minh,35BB528D,C00286
Hải Phòng,35BB64A5,C01621
Bắc Ninh,35BB648B,C01621
Hà Nội,35BB6449,C00325
Đà Nẵng,35BB5356,C00155
Hà Nội,35BB6450,C00325
Hà Nội,35BB645F,C00319
Hà Nội,35BB64A0,C01621
Kiên Giang,35BB6417,C00829
Hải Phòng,35BB64A3,C01621
Hà Nội,35BB6484,C01621
Hà Nội,35BB640E,C01388
Hồ Chí Minh,35BB646A,C01436
Hà Nội,35BB6459,C01589
Hồ Chí Minh,35BB6459,C01589
Hà Tĩnh,35BB642E,C00770
Hà Nội,35BB7185,C01043
Hà Nội,35BB7188,C01043
Hà Nội,35BB640F,C01003
Long An,35BB717C,C00475
Long An,35BB7180,C00475
Long An,35BB717D,C00475
Hồ Chí Minh,35BB71C2,C01228
Bình Dương,35BB71FB,C01500
Cần Thơ,35BB71FB,C01500
Bình Phước,35BB71FB,C01500
Hồ Chí Minh,35BB71E3,C00698
Hồ Chí Minh,35BB71C7,C01228
Hồ Chí Minh,35BB71BB,C01304
Hồ Chí Minh,35BB71CB,C01228
Long An,35BB71E2,C01757
Hồ Chí Minh,35BB71BC,C01228
Hồ Chí Minh,35BB719E,C01692
Long An,35BB71D8,C01757
Lâm Đồng,35BB71E6,C00628
Bà Rịa - Vũng Tàu,35BB7205,C01137
Long An,35BB6B63,C00683
Hồ Chí Minh,35BB71DE,C01070
Hà Nội,35BB7E23,C01696
Bình Dương,35BB7E25,C01137
Bà Rịa - Vũng Tàu,35BB7E25,C01137
Hồ Chí Minh,35BB7E25,C01137
Hồ Chí Minh,35BB7E24,C01782
Hà Nội,35BB7E21,C01809
Hồ Chí Minh,35BB71AF,C00943
Hồ Chí Minh,35BB74DF,C01407
Hồ Chí Minh,35BB7E26,C01137
Hồ Chí Minh,35B99BD5,C00292
Hồ Chí Minh,35BB71B5,C01025
Hà Nội,35BB71B2,C00943
Hồ Chí Minh,35BB71B0,C01025
Hồ Chí Minh,35BB71A6,C00351
Đồng Nai,35BB6033,C00536
Lâm Đồng,35BB71B6,C00952
Tây Ninh,35BB71B6,C00952
Bà Rịa - Vũng Tàu,35BB71B6,C00952
Hồ Chí Minh,35BB719B,C01734
Đồng Nai,35BB71DB,C00642
Hà Nội,35BB7DE9,C01641
Bình Dương,35BB7DE7,C00084
Hồ Chí Minh,35BB7DE6,C00214
Đồng Nai,35BB7DEB,C01641
Hồ Chí Minh,35BB7DEA,C01544
Đồng Nai,35BB7DEE,C01641
Quốc tế,35BB7DEC,C01641
Hà Nội,35BB7DEF,C01641
Hà Nội,35BB7DF0,C01690
Hồ Chí Minh,35BB7DF0,C01690
Hà Nội,35BB7DED,C00345
Hồ Chí Minh,35BB7DBD,C01520
Hồ Chí Minh,35BB7DF3,C01641
Đà Nẵng,35BB7DF3,C01641
Hồ Chí Minh,35BB7DF1,C01641
Hà Nội,35BB7DB1,C00301
Hồ Chí Minh,35BB7DB4,C00829
Hồ Chí Minh,35BB7DBA,C00829
Hà Nội,35BB7DB3,C00598
Hồ Chí Minh,35B9AB4F,C01291
Hồ Chí Minh,35BB7D86,C00411
Hà Nội,35BB7DB7,C00598
Hà Nội,35BB7DB8,C01653
Bắc Ninh,35BB7DB9,C01260
Hồ Chí Minh,35BB7DB5,C01130
Hà Nội,35BB7DBF,C00112
Hồ Chí Minh,35BB7DBE,C01301
Hồ Chí Minh,35BB7DBC,C01270
Hồ Chí Minh,35BB7DC1,C01663
Hưng Yên,35BB7D85,C00761
Hồ Chí Minh,35BB7D6A,C01697
Hồ Chí Minh,35BB7D74,C01532
Hồ Chí Minh,35BB7D15,C01273
Hà Nội,35BB7D15,C01273
Hồ Chí Minh,35BB7D6F,C00482
Long An,35BB7D72,C00671
Hồ Chí Minh,35BB7D77,C01433
Hồ Chí Minh,35BB7DC0,C01130
Quảng Nam,35BB7D7C,C01584
Đà Nẵng,35BB7D7C,C01584
Gia Lai,35BB7D7C,C01584
Bình Dương,35BB7D76,C01688
Hồ Chí Minh,35BB7D75,C00729
Hà Nội,35BB7D75,C00729
Hồ Chí Minh,35BB7D78,C00055
Bình Dương,35B292D2,C01703
Hà Nội,35BB7D37,C01710
Hồ Chí Minh,35BB7D3B,C01717
Hồ Chí Minh,35BB7D3C,C00007
Hồ Chí Minh,35BB7D3D,C00729
Hà Nội,35BB7D3D,C00729
Hà Nội,35BB7D7E,C00697
Bắc Ninh,35BB7D7A,C01802
Hồ Chí Minh,35BB7D18,C00007
Hồ Chí Minh,35BB7D3F,C01735
Hồ Chí Minh,35BB7D41,C00633
Hà Nội,35BB7D3E,C01138
Hà Nội,35BB7D40,C01039
Hà Nội,35BB7D33,C01281
Hồ Chí Minh,35BB7D33,C01281
Hà Nội,35BB7D4A,C00943
Hồ Chí Minh,35BB7D45,C00504
Hà Nội,35BB7D47,C01374
Hồ Chí Minh,35BB7CF1,C00579
Hà Nội,35BB7CF4,C00358
Hà Nội,35BB7CF3,C00358
Hà Nội,35BB7D49,C00345
Hồ Chí Minh,35BB7CBA,C00991
Hồ Chí Minh,35BB7CF6,C00097
Hồ Chí Minh,35BB7CEE,C00714
Hồ Chí Minh,35BB7CF8,C01757
Hồ Chí Minh,35BB3882,C00969
Hà Nội,35BB7CFB,C00405
Hồ Chí Minh,35BB7CF7,C01825
Hà Nội,35BB7CFE,C00079
Hồ Chí Minh,35BB7D00,C01175
Hà Nội,35BB7CFC,C00616
Hồ Chí Minh,35BB7CFF,C01373
Bà Rịa - Vũng Tàu,35BB7CFF,C01373
An Giang,35BB7CFF,C01373
Hồ Chí Minh,35BB7D02,C00244
Hồ Chí Minh,35BB7CF9,C00805
Hưng Yên,35BB7D04,C01757
Hà Nội,35BB7CB8,C01748
Long An,35BB7D03,C00671
Hà Nội,35BB7C54,C00454
Hà Nội,35BB7C61,C00454
Hà Nội,35BB7C50,C00454
Hà Nội,35BB7C46,C00454
Hà Nội,35BB7C48,C00454
Hà Nội,35BB7C5C,C00454
Hà Nội,35BB7C58,C00454
Hà Nội,35BB7CC2,C00678
Hồ Chí Minh,35BB7CC5,C01641
Hồ Chí Minh,35BB7CBF,C00842
Hưng Yên,35BB7C9C,C00581
Hồ Chí Minh,35BB7CBE,C01641
Quảng Nam,35BB7CC7,C01487
Hồ Chí Minh,35BB7C86,C01779
Hồ Chí Minh,35BB7C80,C00542
Hồ Chí Minh,35BB7C8A,C00777
Đồng Nai,35BB7C2F,C00930
Bình Dương,35BB7C2F,C00930
Hồ Chí Minh,35BB7C2F,C00930
Hồ Chí Minh,35BB7C89,C00419
Đồng Nai,35BB7C88,C00045
Hà Nội,35BB7C74,C01506
Hà Nội,35BB7C87,C01122
Hồ Chí Minh,35BB7C82,C01067
Hà Nội,35BB7C83,C01139
Hà Nội,35BB7C95,C01748
Thái Bình,35BB7C95,C01748
Thanh Hóa,35BB7C95,C01748
Hồ Chí Minh,35BB7C0E,C00533
Hồ Chí Minh,35BB7C8B,C00024
Hồ Chí Minh,35BB7C97,C01149
