job_id,job_tags
35BB86D8,Kiểm tra chất lượng
35BB86D8,QA/QC Manager
35BB86D8,QA/QC Director
35BB86D8,Trưởng phòng QA/QC
35BB86D8,Giám đốc QA/QC
35BB86D8,Kỹ sư quản lý chất lượng
35BB86C8,Team leader
35BB86C8,Trưởng nhóm kinh doanh kênh tiền mặt - Bà Rịa - Vũng Tàu
35BB86C8,Trưởng nhóm kinh doanh kênh tiền mặt  [Bà Rịa - Vũng Tàu]
35BB86C7,Thẻ vay tiền mặt
35BB86C7,Trưởng nhóm Kinh doanh Thẻ vay - KV Hồ Chí Minh
35BB86CA,Team leader
35BB86CA,Trưởng nhóm kinh doanh - KV Hồ Chí Minh
35BB86CA,Trưởng nhóm kinh doanh kênh tiền mặt - KV Long An
35BB86CB,[Bà Rịa - Vũng Tàu] - Trưởng phòng Kinh doanh Khu vực ASM
35BB86CD,Người dẫn chương trình
35BB8697,Procurement Officer
35BB8697,Purchasing officer
35BB8697,Purchasing Staff/ Executive/ Supervisor/ Manager
35BB8697,Nhân viên phòng thu mua
35BB8697,Purchasing
35BB86D2,QA/QC
35BB86D2,QA/QC staff
35BB86D2,Chuyên viên QA/QC
35BB86D2,QA/QC Specialist
35BB86D2,QA/QC Manager
35BB86D2,QA/QC Director
35BB86D2,Trưởng phòng QA/QC
35BB86D2,Nhân viên QA/QC
35BB86D2,QA/QC Leader
35BB86D2,QA/QC Team Lead
35BB86D2,QA/QC outside
35BB86D2,QA/QC Engineer
35BB86D2,Kỹ sư chất lượng
35BB86D2,Kỹ sư quản lý chất lượng
35BB86D2,Kỹ sư QA QC
35BB86D2,Kỹ sư QC
35BB86CF,Unknown
35BB86D1,Nhân viên an toàn môi trường
35BB86D1,Giám sát an toàn môi trường
35BB86D1,Chuyên viên an toàn môi trường
35BB86D1,Kỹ sư an toàn
35BB86D1,Trưởng nhóm an toàn môi trường
35BB86D1,Trưởng phòng an toàn môi trường
35BB86D1,Vệ sinh An toàn Môi Trường
35BB86D1,Giám sát an toàn
35BB86D1,Giám đốc an toàn
35BB86D1,Trưởng Bộ Phận An Toàn Lao Động
35BB86D1,chuyên viên an toàn lao động
35BB86D1,Chuyên viên HSE
35BB86D1,Nhân viên HSE
35BB86D1,HSE Officer
35BB86D1,HSE Leader
35BB86D1,HSE Specialist
35BB86D1,HSE Supervisor
35BB86D1,HSE Director
35BB86D1,Kỹ sư môi trường HSE
35BB86D3,KHDN
35BB86D3,SME
35BB86D3,QHKHDN
35BB86D3,Tài chính ngân hàng
35BB86D3,tài chính
35BB86D3,ngân hàng
35BB86D3,Quan hệ khách hàng
35BB86D3,Khách hàng doanh nghiệp
35BB86D3,Vừa và nhỏ
35BB86D3,DVKH
35BB86D3,Dịch vụ khách hàng
35BB86D3,chăm sóc khách hàng
35BB86D3,Chuyên viên Khách hàng Doanh nghiệp (SME)
35BB86D3,Khánh Hòa
35BB86D5,Nhân viên bảo trì
35BB86D5,Kỹ sư bảo trì
35BB86D5,Chuyên viên bảo trì
35BB86D5,Maintenance man
35BB86D5,Nhân viên sửa máy
35BB86D5,Nhân viên bảo dưỡng
35BB86D5,Chuyên viên bảo dưỡng
35BB86D5,Kỹ sư bảo dưỡng
35BB86D7,Trưởng bộ phận kiểm soát chất lượng QA/QC
35BB86D7,Quality Control
35BB86D7,QA/QC Manager
35BB86D7,QA/QC Specialist
35BB86D7,QA/QC Director
35BB86D7,QA/QC Leader
35BB86D7,QA/QC Team Lead
35BB86D7,Chuyên viên QA/QC
35BB86D7,QA/QC Engineer
35BB86D7,Senior QA/QC Specialist
35BB86D7,Trưởng bộ phận quản lý chất lượng
35BB86D7,trưởng bộ phận QA/QC
35BB86C3,Thẻ vay tiền mặt
35BB86C3,Trưởng nhóm Kinh doanh Thẻ vay - KV Đồng Nai
35BB86D6,KHDN
35BB86D6,SME
35BB86D6,QHKHDN
35BB86D6,Tài chính ngân hàng
35BB86D6,tài chính
35BB86D6,ngân hàng
35BB86D6,Quan hệ khách hàng
35BB86D6,Khách hàng doanh nghiệp
35BB86D6,Vừa và nhỏ
35BB86D6,DVKH
35BB86D6,Dịch vụ khách hàng
35BB86D6,chăm sóc khách hàng
35BB86D6,Chuyên viên Khách hàng Doanh nghiệp (SME)
35BB86D6,nam định
35BB8504,Head of sales
35BB86C4,Trưởng nhóm Kinh doanh Thẻ vay - KV Bình Dương
35BB86C9,Thẻ vay tiền mặt
35BB86C9,Trưởng nhóm Kinh doanh Thẻ vay Khu vực Long An
35BB86A2,Nhân viên thu giữ tài sản bảo đảm - Khối Ngân hàng cá nhân
35BB86A2,Chuyên viên thu giữ tài sản bảo đảm - Khối Ngân hàng cá nhân
35BB8691,Nhân viên kiểm tra chất lượng sản phẩm
35BB8691,Quản lý chất lượng
35BB8691,Chuyên viên quản lý chất lượng
35BB8691,Giám sát kiểm soát chất lượng
35BB86C5,Team leader
35BB86C5,Trưởng nhóm kinh doanh kênh tiền mặt - KV Bình Dương
35BB86D4,KHDN
35BB86D4,SME
35BB86D4,QHKHDN
35BB86D4,Tài chính ngân hàng
35BB86D4,tài chính
35BB86D4,ngân hàng
35BB86D4,Quan hệ khách hàng
35BB86D4,Khách hàng doanh nghiệp
35BB86D4,Vừa và nhỏ
35BB86D4,DVKH
35BB86D4,Dịch vụ khách hàng
35BB86D4,chăm sóc khách hàng
35BB86D4,Chuyên viên Khách hàng Doanh nghiệp (SME)
35BB86D4,Quảng Trị
35BB8693,[Văn Lâm - Hưng Yên] Kiểm soát viên
35BB8693,[Yên Phong - Hưng Yên] Kiểm soát viên
35BB8690,Unknown
35BB86C6,Team leader
35BB86C6,Trưởng nhóm kinh doanh kênh tiền mặt - KV Hồ Chí Minh
35BB8696,Thẻ vay tiền mặt
