company_id,company_title,company_url,company_video_url
C02028,Blue Sky Corporation,https://careerbuilder.vn/vi/nha-tuyen-dung/blue-sky-corporation.35A5F256.html,Unknown
C02029,"MELODY LOGISTICS CO., LTD",https://careerbuilder.vn/vi/nha-tuyen-dung/melody-logistics-co-ltd.35A7E408.html,https://www.youtube.com/watch?v=tIsYEy2C6U8
C02030,CTY TNHH MTV TM DV SX CK HÙNG TUẤN,https://careerbuilder.vn/vi/nha-tuyen-dung/cty-tnhh-mtv-tm-dv-sx-ck-hung-tuan.35A961B0.html,Unknown
C02031,Công ty TNHH Cung Ứng Nha Khoa Thành Công,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-cung-ung-nha-khoa-thanh-cong.35A8FFB0.html,Unknown
C02032,Trung Tâm ngoại ngữ Anh ngữ Quốc Tế Queen,https://careerbuilder.vn/vi/nha-tuyen-dung/trung-tam-ngoai-ngu-anh-ngu-quoc-te-queen.35A8A3A8.html,Unknown
C02033,Công Ty TNHH Xây Dựng Solutions,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-xay-dung-solutions.35A8F869.html,https://www.youtube.com/watch?v=t9p4lIcbySM&t=66s
C02034,Công ty TNHH Thương Mại Dịch vụ và Quảng Cáo Mơ Ước,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-thuong-mai-dich-vu-va-quang-cao-mo-uoc.35A954E4.html,Unknown
C02035,Công Ty Cổ Phần Vũ Hoàng Minh,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-co-phan-vu-hoang-minh.35A62A1C.html,https://www.youtube.com/watch?v=xoZZHZ6SAPw
C02036,Công Ty TNHH Trung Tâm Công Nghệ Essilor Việt Nam,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-trung-tam-cong-nghe-essilor-viet-nam.35A7B0FF.html,Unknown
C02037,Công Ty TNHH Hiệp Long,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-hiep-long.35A6B7AB.html,Unknown
C02038,CT CP ĐẠI ĐỒNG TIẾN,https://careerbuilder.vn/vi/nha-tuyen-dung/ct-cp-dai-dong-tien.35A8E342.html,Unknown
