job_id,nganh_nghe
35BB7E70,Bán hàng / Kinh doanh
35BB7E70,Dược phẩm
35BB7E70,Y tế / Chăm sóc sức khỏe
35BB7E5A,Ngành khác
35BB7E5A,Nông nghiệp
35BB7E5A,Quản lý điều hành
35BB7E5D,Công nghệ sinh học
35BB7E5D,Hóa học
35BB7E5D,Ngành khác
35BB7E59,Bán hàng / Kinh doanh
35BB7E59,Bất động sản
35BB7E59,Bán lẻ / Bán sỉ
35BB7E5F,Luật / Pháp lý
35BB7E5F,Hành chính / Thư ký
35BB7E5F,Nhân sự
35BB7E60,Quảng cáo / Đối ngoại / Truyền Thông
35BB7E60,Mỹ thuật / Nghệ thuật / Thiết kế
35BB7E5C,Bảo trì / Sửa chữa
35BB7E5C,Cơ khí / Ô tô / Tự động hóa
35BB7E5C,Ngành khác
35BB7E5B,Ngành khác
35BB7E5B,Nông nghiệp
35BB7E5B,Thủy lợi
35BB7E61,Bán hàng / Kinh doanh
35BB7E61,Tiếp thị / Marketing
35BB7E61,Bán lẻ / Bán sỉ
35BA85B1,Hành chính / Thư ký
35BA85B1,Kế toán / Kiểm toán
35BA85B1,Tài chính / Đầu tư
35BB7E5E,Hành chính / Thư ký
35BB7E5E,Quản lý điều hành
35BB7E5E,Nhân sự
35BB7E63,Tiếp thị / Marketing
35BB7E63,Thu mua / Vật tư
35BB7E63,Xuất nhập khẩu
35BB7E62,Tiếp thị / Marketing
35BB7E62,Truyền hình / Báo chí / Biên tập
35BB7E62,Tiếp thị trực tuyến
35BB7E64,Bán hàng / Kinh doanh
35BB7E64,Bán lẻ / Bán sỉ
35BB7E54,Bán lẻ / Bán sỉ
35BB7E54,Bán hàng / Kinh doanh
35BB7E54,Cơ khí / Ô tô / Tự động hóa
35BB7E66,Tiếp thị / Marketing
35BB7E66,Bán lẻ / Bán sỉ
35BB7E66,Bán hàng / Kinh doanh
35BB7E56,Hành chính / Thư ký
35BB7E56,Ngân hàng
35BB7E58,Bán lẻ / Bán sỉ
35BB7E58,Bán hàng / Kinh doanh
35BB7E58,Xuất nhập khẩu
35BB7E53,Bán hàng / Kinh doanh
35BB7E53,Kiến trúc
35BB7E53,Xây dựng
35BB7E32,Kiến trúc
35BB7E32,Nhân sự
35BB7E32,Hành chính / Thư ký
35BB7E55,Bán hàng / Kinh doanh
35BB7E55,Y tế / Chăm sóc sức khỏe
35BB7E55,Tư vấn
35BB2A11,Tiếp thị / Marketing
35BB2A11,Bán hàng / Kinh doanh
35BB2A11,Dịch vụ khách hàng
35BB2A12,Bán hàng / Kinh doanh
35BB2A12,Tiếp thị trực tuyến
35BB2A12,Dược phẩm
35BB290B,Dịch vụ khách hàng
35BB290B,Nhà hàng / Khách sạn
35BB290B,Du lịch
35BB2973,Bảo hiểm
35BB2973,Bán hàng / Kinh doanh
35BB2973,Ngân hàng
35BB297D,Dược phẩm
35BB297D,Y tế / Chăm sóc sức khỏe
35BB297D,Xây dựng
35BB2A1A,Bán hàng / Kinh doanh
35BB2A1A,Dược phẩm
35BB2A0B,Bán hàng / Kinh doanh
35BB2A0B,Vận chuyển / Giao nhận /  Kho vận
35BB2A26,Bán hàng / Kinh doanh
35BB2A26,Dược phẩm
35BB2A26,Dịch vụ khách hàng
35BB256D,Bán hàng / Kinh doanh
35BB256D,Tư vấn
35BB7E29,Thực phẩm & Đồ uống
35BB29BF,Tiếp thị / Marketing
35BB29BF,Bán hàng / Kinh doanh
35BB29BF,Vận chuyển / Giao nhận /  Kho vận
35BB7E2B,Unknown
35BB7B16,Unknown
35BB7E30,Hành chính / Thư ký
35BB7E30,Nhân sự
35BB7E30,Kế toán / Kiểm toán
35BB7E2D,Tiếp thị / Marketing
35BB7E2D,Bán hàng / Kinh doanh
35BB7E2D,Điện / Điện tử / Điện lạnh
35BB29CE,Giáo dục / Đào tạo
35BB29CE,Tài chính / Đầu tư
35BB29CE,Bán hàng / Kinh doanh
35BB7E2F,Tiếp thị / Marketing
35BB7E2F,Bán hàng / Kinh doanh
35BB7E2F,Y tế / Chăm sóc sức khỏe
35BB29D6,Bán hàng / Kinh doanh
35BB29D6,Tư vấn
35BB29D6,Nhân sự
35BB7E31,Hành chính / Thư ký
35BB7E31,Biên phiên dịch
35BB7E31,Cơ khí / Ô tô / Tự động hóa
35BB29DA,Bán hàng / Kinh doanh
35BB29DA,Dịch vụ khách hàng
35BB29DA,Ngân hàng
35BB29D3,Bán hàng / Kinh doanh
35BB29D3,Tư vấn
35BB29D3,Nhân sự
35BB2982,Tiếp thị / Marketing
35BB2982,Bán hàng / Kinh doanh
35BB2982,Dược phẩm
35BB29FB,Tư vấn
35BB29FB,Dịch vụ khách hàng
35BB29FB,Y tế / Chăm sóc sức khỏe
35BB29E1,Bán lẻ / Bán sỉ
35BB29E1,Bán hàng / Kinh doanh
35BB29AF,Vận chuyển / Giao nhận /  Kho vận
35BB29AF,Thực phẩm & Đồ uống
35BB2997,Bán hàng / Kinh doanh
35BB2997,Ngân hàng
35BB2997,Bảo hiểm
35BB2998,Bán hàng / Kinh doanh
35BB2998,Tiếp thị trực tuyến
35BB2998,Dịch vụ khách hàng
35BB29F4,Kế toán / Kiểm toán
35BB29F4,Ngân hàng
35BB29F4,Tài chính / Đầu tư
35BB28D6,Thủy lợi
35BB28D6,Điện / Điện tử / Điện lạnh
35BB28D6,Xây dựng
35BB29AE,Dịch vụ khách hàng
35BB29AE,Dệt may / Da giày / Thời trang
35BB299D,Giáo dục / Đào tạo
35BB299D,Du lịch
35BB299D,Nhà hàng / Khách sạn
35BB29D5,Bán hàng / Kinh doanh
35BB29D5,Ngân hàng
35BB29D5,Tài chính / Đầu tư
35BB297F,Mỹ thuật / Nghệ thuật / Thiết kế
35BB2980,Bán hàng / Kinh doanh
35BB2980,Dịch vụ khách hàng
35BB2980,Bán lẻ / Bán sỉ
35BB29C6,Mỹ thuật / Nghệ thuật / Thiết kế
35BB29C6,Sản xuất / Vận hành sản xuất
35BB29C6,In ấn / Xuất bản
35BB28D8,Kế toán / Kiểm toán
35BB29C0,Luật / Pháp lý
35BB29C0,Kế toán / Kiểm toán
35BB29C0,Tài chính / Đầu tư
35BB29B6,Bán hàng / Kinh doanh
35BB29B6,Ngân hàng
35BB29B6,Tài chính / Đầu tư
35BB29B5,Vận chuyển / Giao nhận /  Kho vận
35BB29B5,Kế toán / Kiểm toán
35BB2937,Tiếp thị / Marketing
35BB2937,Bán lẻ / Bán sỉ
35BB2937,Bán hàng / Kinh doanh
35BB293C,Kế toán / Kiểm toán
35BB293C,Tài chính / Đầu tư
35BB293C,Ngân hàng
35BB291B,Dịch vụ khách hàng
35BB291B,Ngân hàng
35BB291B,Tài chính / Đầu tư
35BB2919,Ngân hàng
35BB2919,Tài chính / Đầu tư
35BB291F,Bán lẻ / Bán sỉ
35BB291F,Bán hàng / Kinh doanh
35BB2A23,Môi trường
35BB291D,Ngân hàng
35BB291D,Tài chính / Đầu tư
35BB2933,CNTT - Phần mềm
35BB290C,Kế toán / Kiểm toán
35BB290C,Tài chính / Đầu tư
35BB290C,Thống kê
35BB2912,Cơ khí / Ô tô / Tự động hóa
35BB2912,Bảo trì / Sửa chữa
35BB2912,Sản xuất / Vận hành sản xuất
