job_id,outstanding_welfare
35BB7E70,Chế độ bảo hiểm
35BB7E70,Du Lịch
35BB7E70,Chế độ thưởng
35BB7E5A,Laptop
35BB7E5A,Chế độ bảo hiểm
35BB7E5A,Du Lịch
35BB7E5D,Laptop
35BB7E5D,Chế độ bảo hiểm
35BB7E5D,Du Lịch
35BB7E59,Chế độ bảo hiểm
35BB7E59,Du Lịch
35BB7E59,Phụ cấp
35BB7E5F,Laptop
35BB7E5F,Chế độ bảo hiểm
35BB7E5F,Du Lịch
35BB7E60,Chế độ bảo hiểm
35BB7E60,Du Lịch
35BB7E60,Chế độ thưởng
35BB7E5C,Laptop
35BB7E5C,Chế độ bảo hiểm
35BB7E5C,Du Lịch
35BB7E5B,Laptop
35BB7E5B,Chế độ bảo hiểm
35BB7E5B,Du Lịch
35BB7E61,Chế độ bảo hiểm
35BB7E61,Phụ cấp
35BB7E61,Chế độ thưởng
35BA85B1,Chế độ bảo hiểm
35BA85B1,Du Lịch
35BA85B1,Phụ cấp
35BB7E5E,Laptop
35BB7E5E,Chế độ bảo hiểm
35BB7E5E,Du Lịch
35BB7E63,Chế độ bảo hiểm
35BB7E63,Du Lịch
35BB7E63,Chế độ thưởng
35BB7E62,Chế độ bảo hiểm
35BB7E62,Du Lịch
35BB7E62,Chế độ thưởng
35BB7E64,Chế độ bảo hiểm
35BB7E64,Phụ cấp
35BB7E64,Chế độ thưởng
35BB7E54,Chế độ bảo hiểm
35BB7E54,Du Lịch
35BB7E54,Phụ cấp
35BB7E66,Chế độ bảo hiểm
35BB7E66,Du Lịch
35BB7E66,Phụ cấp
35BB7E56,Chế độ bảo hiểm
35BB7E56,Du Lịch
35BB7E56,Phụ cấp
35BB7E58,Laptop
35BB7E58,Chế độ bảo hiểm
35BB7E58,Du Lịch
35BB7E53,Laptop
35BB7E53,Chế độ bảo hiểm
35BB7E53,Du Lịch
35BB7E32,Chế độ bảo hiểm
35BB7E32,Du Lịch
35BB7E32,Phụ cấp
35BB7E55,Chế độ bảo hiểm
35BB7E55,Du Lịch
35BB7E55,Phụ cấp
35BB2A11,Chế độ bảo hiểm
35BB2A11,Du Lịch
35BB2A11,Chế độ thưởng
35BB2A12,Chế độ bảo hiểm
35BB2A12,Du Lịch
35BB2A12,Chế độ thưởng
35BB290B,Chế độ bảo hiểm
35BB290B,Du Lịch
35BB290B,Phụ cấp
35BB2973,Chế độ bảo hiểm
35BB2973,Du Lịch
