company_id,company_title,company_url,company_video_url
C00000,CEI International Investments VN,https://careerbuilder.vn/vi/nha-tuyen-dung/cei-international-investments-vn.35A5F5D2.html,Unknown
C00002,CÔNG TY CỔ PHẦN GIÁO DỤC VÀ THƯƠNG MẠI RIKI VIỆT NAM,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-co-phan-giao-duc-va-thuong-mai-riki-viet-nam.35A8AFB6.html,https://www.youtube.com/watch?v=esuw8wphLsI
C00003,CÔNG TY CỔ PHẦN MÙA GẶT,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-co-phan-mua-gat.35A95621.html,Unknown
C00004,CÔNG TY CỔ PHẦN TM & SX NỘI THẤT THE ONE,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-co-phan-tm-sx-noi-that-the-one.35A8B57C.html,Unknown
C00005,CÔNG TY CỔ PHẦN TẬP ĐOÀN AMDI,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-co-phan-tap-doan-amdi.35A85CBC.html,Unknown
C00006,CÔNG TY CỔ PHẦN VIỆT MỸ . GROUP,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-co-phan-viet-my-group.35A8AF14.html,Unknown
C00007,CÔNG TY TNHH CÔNG NGHỆ CƠ ĐIỆN LẠNH PHAN BÁCH,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-cong-nghe-co-dien-lanh-phan-bach.35A91375.html,Unknown
C00008,CÔNG TY TNHH GIÁO DỤC VÀ THƯƠNG MẠI RIKI VIỆT NAM,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-giao-duc-va-thuong-mai-riki-viet-nam.35A8AFB6.html,https://www.youtube.com/watch?v=esuw8wphLsI
C00009,CÔNG TY TNHH MAI LINH ĐÀ LẠT,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-mai-linh-da-lat.35A95B39.html,Unknown
C00010,CÔNG TY TNHH PHẦN MỀM SAO SÀI GÒN,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-phan-mem-sao-sai-gon.35A95DCE.html,Unknown
C00011,Công Ty Cổ Phần Đức Mạnh,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-co-phan-duc-manh.35A754B0.html,https://www.youtube.com/watch?v=UC2KmnDviow
C00013,Công ty TNHH Công nghệ và Giải pháp CMC Sài Gòn,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-cong-nghe-va-giai-phap-cmc-sai-gon.35A5041F.html,Unknown
C00014,Công ty TNHH MTV Nhà Hàng Hoàng Yến,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-mtv-nha-hang-hoang-yen.35A6F187.html,Unknown
C00015,FPT Telecom - Chi nhánh Công ty Cổ Phần Viễn Thông FPT Quận 9,https://careerbuilder.vn/vi/nha-tuyen-dung/fpt-telecom-chi-nhanh-cong-ty-co-phan-vien-thong-fpt-quan-9.35A8CF49.html,Unknown
C00016,SUNHOUSE MIỀN NAM,https://careerbuilder.vn/vi/nha-tuyen-dung/sunhouse-mien-nam.35A63105.html,https://www.youtube.com/watch?v=lVOmBkKeoqY
C00017,Sun World Bà Nà Hills,https://careerbuilder.vn/vi/nha-tuyen-dung/sun-world-ba-na-hills.35A8B154.html,Unknown
C00018,Đức Trung Group (CNMN),https://careerbuilder.vn/vi/nha-tuyen-dung/duc-trung-group-cnmn.35A68434.html,Unknown
C00019,160STORE,https://careerbuilder.vn/vi/nha-tuyen-dung/160store.35A8A0F3.html,Unknown
C00020,2Lians Recycling Pte. Ltd.,https://careerbuilder.vn/vi/nha-tuyen-dung/2lians-recycling-pte-ltd.35A7FCD4.html,Unknown
C00021,"357-359 An Dương Vương, P.3, Q.5, HCM",https://careerbuilder.vn/vi/nha-tuyen-dung/357-359-an-duong-vuong-p-3-q-5-hcm.35A85D7E.html,Unknown
C00022,919vn.com,https://careerbuilder.vn/vi/nha-tuyen-dung/919vn-com.35A86DB2.html,Unknown
C00023,A.J. PLAST (VIETNAM) COMPANY LIMITED,https://careerbuilder.vn/vi/nha-tuyen-dung/a-j-plast-vietnam-company-limited.35A93D47.html,https://www.youtube.com/watch?v=PT4XaCZdlLw
C00024,AA Corporation,https://careerbuilder.vn/vi/nha-tuyen-dung/aa-corporation.35A4EDE4.html,Unknown
C00025,AAT DECOR,https://careerbuilder.vn/vi/nha-tuyen-dung/aat-decor.35A8780A.html,Unknown
C00026,ABBANK - Ngân Hàng TMCP An Bình,https://careerbuilder.vn/vi/nha-tuyen-dung/abbank-ngan-hang-tmcp-an-binh.35A50C5D.html,https://www.youtube.com/watch?v=HDag4n2qxiU
C00027,ACB - Ngân Hàng TMCP Á Châu,https://careerbuilder.vn/vi/nha-tuyen-dung/acb-ngan-hang-tmcp-a-chau.35A50206.html,https://www.youtube.com/watch?v=q7QC6TepSYo&feature=youtu.be
C00028,ACCEL WORKS COMPANY LIMITED,https://careerbuilder.vn/vi/nha-tuyen-dung/accel-works-company-limited.35A95A63.html,Unknown
C00029,ACS Trading Vietnam Co. Ltd.,https://careerbuilder.vn/vi/nha-tuyen-dung/acs-trading-vietnam-co-ltd.35A684FB.html,Unknown
C00030,ADP Architects,https://careerbuilder.vn/vi/nha-tuyen-dung/adp-architects.35A75DCC.html,https://www.youtube.com/watch?v=7rQ4hAOBwLo
C00031,"AEONMALL Vietnam Co., Ltd.",https://careerbuilder.vn/vi/nha-tuyen-dung/aeonmall-vietnam-co-ltd.35A75E45.html,https://www.youtube.com/watch?v=NGQN_gxLvA4
C00032,AIA (Vietnam) Life Insurance Co,https://careerbuilder.vn/vi/nha-tuyen-dung/aia-vietnam-life-insurance-co.35A8A38A.html,Unknown
C00033,AIA Việt Nam,https://careerbuilder.vn/vi/nha-tuyen-dung/aia-viet-nam.35A81E63.html,Unknown
C00034,AIA Việt Nam - Nest By AIA Hồ Chí Minh,https://careerbuilder.vn/vi/nha-tuyen-dung/aia-viet-nam-nest-by-aia-ho-chi-minh.35A918BA.html,Unknown
C00035,ALLIANCE CONSTRUCTION AND TRADING COMPANY LIMITED,https://careerbuilder.vn/vi/nha-tuyen-dung/alliance-construction-and-trading-company-limited.35A89203.html,https://www.youtube.com/watch?v=dEvCajomJg4&feature=youtu.be
C00036,AMACCAO GROUP,https://careerbuilder.vn/vi/nha-tuyen-dung/amaccao-group.35A85E43.html,Unknown
C00037,"ANH ANH TOURISM CO., LTD",https://careerbuilder.vn/vi/nha-tuyen-dung/anh-anh-tourism-co-ltd.35A9492C.html,Unknown
C00038,ANVY GROUP,https://careerbuilder.vn/vi/nha-tuyen-dung/anvy-group.35A95211.html,Unknown
C00039,ASIA VIETNAM TRAVEL COMPANY,https://careerbuilder.vn/vi/nha-tuyen-dung/asia-vietnam-travel-company.35A9542E.html,Unknown
C00040,ASIAN TRAILS - CÔNG TY TNHH DU LỊCH ĐƯỜNG MÒN CHÂU Á,https://careerbuilder.vn/vi/nha-tuyen-dung/asian-trails-cong-ty-tnhh-du-lich-duong-mon-chau-a.35A86F70.html,Unknown
C00041,ATAD Steel Structure Corporation,https://careerbuilder.vn/vi/nha-tuyen-dung/atad-steel-structure-corporation.35A90980.html,Unknown
C00042,ATLAS INDUSTRIES (VIETNAM) LIMITED,https://careerbuilder.vn/vi/nha-tuyen-dung/atlas-industries-vietnam-limited.35A4EE94.html,Unknown
C00043,Abbott,https://careerbuilder.vn/vi/nha-tuyen-dung/abbott.35A4FE0A.html,https://www.youtube.com/watch?v=CsYTySID3nA&t=10s
C00044,Abbott Laboratories,https://careerbuilder.vn/vi/nha-tuyen-dung/abbott-laboratories.35A4FE0A.html,https://www.youtube.com/watch?v=CsYTySID3nA&t=10s
C00045,Action Composites Hightech Industries,https://careerbuilder.vn/vi/nha-tuyen-dung/action-composites-hightech-industries.35A80113.html,https://www.youtube.com/watch?v=9Nz7oFx8a2Y
C00046,Ada-Asia _ Công Ty TNHH Đầu Tư Thiên Ân,https://careerbuilder.vn/vi/nha-tuyen-dung/ada-asia-_-cong-ty-tnhh-dau-tu-thien-an.35A8F0F7.html,https://www.youtube.com/watch?v=3VQvcvM0Z3I
C00047,AkzoNobel Vietnam,https://careerbuilder.vn/vi/nha-tuyen-dung/akzonobel-vietnam.35A4FE7E.html,https://www.youtube.com/watch?v=OPNwWlN0sWk
C00048,Aldila Composite Products,https://careerbuilder.vn/vi/nha-tuyen-dung/aldila-composite-products.35A5A111.html,Unknown
C00049,Alphanam Group,https://careerbuilder.vn/vi/nha-tuyen-dung/alphanam-group.35A6A293.html,Unknown
C00050,American International Hospital (AIH),https://careerbuilder.vn/vi/nha-tuyen-dung/american-international-hospital-aih.35A86E08.html,Unknown
C00051,"Ampharco U.S.A Pharmaceutical JSC.,",https://careerbuilder.vn/vi/nha-tuyen-dung/ampharco-u-s-a-pharmaceutical-jsc.35A5A5E6.html,Unknown
C00052,An Huy Trading Co. Ltd,https://careerbuilder.vn/vi/nha-tuyen-dung/an-huy-trading-co-ltd.35A61D8B.html,Unknown
C00053,Anh Nguyen Co Ltd,https://careerbuilder.vn/vi/nha-tuyen-dung/anh-nguyen-co-ltd.35A85952.html,Unknown
C00054,Anh Văn Hội Việt Mỹ (VUS),https://careerbuilder.vn/vi/nha-tuyen-dung/anh-van-hoi-viet-my-vus.35A4FE0E.html,https://www.youtube.com/watch?v=DkEhZQ9EESw
C00055,Anheuser-Busch InBev (AB InBev),https://careerbuilder.vn/vi/nha-tuyen-dung/anheuser-busch-inbev-ab-inbev.35A816AA.html,Unknown
C00056,Aon Vietnam Ltd.,https://careerbuilder.vn/vi/nha-tuyen-dung/aon-vietnam-ltd.35A944FF.html,Unknown
