company_id,company_title,company_url,company_video_url
C01839,CÔNG TY TNHH VIESSMANN TECHNOLOGY VIỆT NAM,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-viessmann-technology-viet-nam.35A95CA5.html,Unknown
C01840,CÔNG TY TNHH THƯƠNG MẠI QUỐC TẾ SON VI,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-thuong-mai-quoc-te-son-vi.35A70707.html,Unknown
C01841,THỜI TRANG LINING_CÔNG TY TNHH QUỐC TẾ HẢI LONG,https://careerbuilder.vn/vi/nha-tuyen-dung/thoi-trang-lining_cong-ty-tnhh-quoc-te-hai-long.35A960CA.html,Unknown
C01842,Công ty Gofingo Vietnam,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-gofingo-vietnam.35A86542.html,Unknown
C01843,CÔNG TY TNHH DƯỢC MỸ PHẨM QUỐC TẾ LIISKIN,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-duoc-my-pham-quoc-te-liiskin.35A95FF8.html,Unknown
C01844,HDBank,https://careerbuilder.vn/vi/nha-tuyen-dung/hdbank.35A58049.html,Unknown
C01845,CÔNG TY CỔ PHẦN THƯƠNG MẠI TAMSOA,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-co-phan-thuong-mai-tamsoa.35A95F95.html,Unknown
C01846,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ ĐÁ NỮ HOÀNG,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-san-xuat-thuong-mai-dich-vu-da-nu-hoang.35A7C253.html,Unknown
C01847,CÔNG TY TNHH CHÂU Á MỀM,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-chau-a-mem.35A92164.html,https://www.youtube.com/watch?v=Efpt4ySf-Fw
C01848,CTY TNHH KIÊN THÀNH TÍN,https://careerbuilder.vn/vi/nha-tuyen-dung/cty-tnhh-kien-thanh-tin.35A95747.html,Unknown
C01849,Công ty TNHH thực phẩm sạch thương mại T&P,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-thuc-pham-sach-thuong-mai-t-p.35A74341.html,Unknown
C01850,"Công ty Nhật chuyên về kinh doanh phụ tùng máy móc, băng tải, robot...",https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-nhat-chuyen-ve-kinh-doanh-phu-tung-may-moc-bang-tai-robot.35A960B0.html,Unknown
C01851,COFCO International Vietnam,https://careerbuilder.vn/vi/nha-tuyen-dung/cofco-international-vietnam.35A90652.html,https://www.youtube.com/watch?v=tYZ6JBPzm9E
C01852,Tổng công ty Xây dựng số 1 – CTCP,https://careerbuilder.vn/vi/nha-tuyen-dung/tong-cong-ty-xay-dung-so-1-ctcp.35A8D823.html,Unknown
C01853,CÔNG TY CỔ PHẦN DƯỢC ĐẠI NAM,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-co-phan-duoc-dai-nam.35A91349.html,Unknown
C01854,CÔNG TY TNHH CÔNG NGHỆ MẬT MÃ,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-cong-nghe-mat-ma.35A95F4E.html,Unknown
C01855,WESTCOAST INTERNATIONAL HEALTHCARE COMPANY,https://careerbuilder.vn/vi/nha-tuyen-dung/westcoast-international-healthcare-company.35A7F9E4.html,Unknown
C01856,"NGÂN HÀNG MIZUHO BANK, LTD.- CHI NHÁNH THÀNH PHỐ HÀ NỘI",https://careerbuilder.vn/vi/nha-tuyen-dung/ngan-hang-mizuho-bank-ltd-chi-nhanh-thanh-pho-ha-noi.35A88F99.html,Unknown
C01857,East West Industries Vietnam LLC.,https://careerbuilder.vn/vi/nha-tuyen-dung/east-west-industries-vietnam-llc.35A68A8F.html,https://www.youtube.com/watch?v=hVjXq1atG0c
C01858,Công Ty TNHH Nha Khoa Kim,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-nha-khoa-kim.35A7D7B4.html,Unknown
C01859,CÔNG TY TNHH AMPROC VIỆT NAM,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-amproc-viet-nam.35A96066.html,Unknown
C01860,THỜI TRANG LINING,https://careerbuilder.vn/vi/nha-tuyen-dung/thoi-trang-lining.35A960CA.html,Unknown
C01861,Công ty CP Nguyên Liệu Thực Phẩm Á Châu Sài Gòn (AFI),https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-cp-nguyen-lieu-thuc-pham-a-chau-sai-gon-afi.35A6C787.html,Unknown
C01862,NashTech Vietnam,https://careerbuilder.vn/vi/nha-tuyen-dung/nashtech-vietnam.35A6A5C6.html,https://www.youtube.com/watch?v=hLjcoOUyJpE
C01863,CÔNG TY TNHH THAI WAH VIỆT NAM,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-thai-wah-viet-nam.35A95386.html,https://www.youtube.com/watch?v=i-7VPD9szbE
