job_id,detailed_welfare
35BB86D8,Chế độ bảo hiểm
35BB86D8,Du Lịch
35BB86D8,Chế độ thưởng
35BB86D8,Chăm sóc sức khỏe
35BB86D8,Đào tạo
35BB86D8,Tăng lương
35BB86C8,Chế độ bảo hiểm
35BB86C8,Du Lịch
35BB86C8,Phụ cấp
35BB86C8,Du lịch nước ngoài
35BB86C8,Chế độ thưởng
35BB86C8,Chăm sóc sức khỏe
35BB86C8,Đào tạo
35BB86C8,Tăng lương
35BB86C8,Công tác phí
35BB86C8,Nghỉ phép năm
35BB86C7,Chế độ bảo hiểm
35BB86C7,Du Lịch
35BB86C7,Phụ cấp
35BB86C7,Du lịch nước ngoài
35BB86C7,Chế độ thưởng
35BB86C7,Chăm sóc sức khỏe
35BB86C7,Đào tạo
35BB86C7,Tăng lương
35BB86C7,Công tác phí
35BB86C7,Nghỉ phép năm
35BB86CA,Chế độ bảo hiểm
35BB86CA,Du Lịch
35BB86CA,Phụ cấp
35BB86CA,Du lịch nước ngoài
35BB86CA,Chế độ thưởng
35BB86CA,Chăm sóc sức khỏe
35BB86CA,Đào tạo
35BB86CA,Tăng lương
35BB86CA,Công tác phí
35BB86CA,Nghỉ phép năm
35BB86CB,Chế độ bảo hiểm
35BB86CB,Du Lịch
35BB86CB,Chế độ thưởng
35BB86CB,Chăm sóc sức khỏe
35BB86CB,Đào tạo
35BB86CB,Tăng lương
35BB86CD,Chế độ bảo hiểm
35BB86CD,Du Lịch
35BB86CD,Phụ cấp
35BB86CD,Đồng phục
35BB86CD,Chế độ thưởng
35BB86CD,Chăm sóc sức khỏe
35BB86CD,Đào tạo
35BB86CD,Tăng lương
35BB86CD,Công tác phí
35BB86CD,Phụ cấp thâm niên
35BB86CD,Nghỉ phép năm
35BB8697,Chế độ bảo hiểm
35BB8697,Du Lịch
35BB8697,Chế độ thưởng
35BB8697,Chăm sóc sức khỏe
35BB8697,Đào tạo
35BB8697,Tăng lương
35BB86D2,Unknown
35BB86CF,Unknown
35BB86D1,Chế độ bảo hiểm
35BB86D1,Du Lịch
35BB86D1,Chế độ thưởng
35BB86D1,Chăm sóc sức khỏe
35BB86D1,Đào tạo
35BB86D1,Tăng lương
35BB86D3,Chế độ bảo hiểm
35BB86D3,Du Lịch
35BB86D3,Phụ cấp
35BB86D3,Đồng phục
35BB86D3,Chế độ thưởng
35BB86D3,Chăm sóc sức khỏe
35BB86D3,Đào tạo
35BB86D3,Tăng lương
35BB86D3,Công tác phí
35BB86D3,Phụ cấp thâm niên
35BB86D3,Nghỉ phép năm
35BB86D3,CLB thể thao
35BB86D5,Chế độ bảo hiểm
35BB86D5,Du Lịch
35BB86D5,Chế độ thưởng
35BB86D5,Chăm sóc sức khỏe
35BB86D5,Đào tạo
35BB86D5,Tăng lương
35BB86D7,Chế độ bảo hiểm
