job_id,nganh_nghe
35BB86D8,Mỹ thuật / Nghệ thuật / Thiết kế
35BB86D8,Kiến trúc
35BB86D8,Xây dựng
35BB86C8,Bán hàng / Kinh doanh
35BB86C8,Dịch vụ khách hàng
35BB86C8,Ngân hàng
35BB86C7,Bán hàng / Kinh doanh
35BB86C7,Dịch vụ khách hàng
35BB86C7,Ngân hàng
35BB86CA,Bán hàng / Kinh doanh
35BB86CA,Dịch vụ khách hàng
35BB86CA,Ngân hàng
35BB86CB,Bán hàng / Kinh doanh
35BB86CB,Ngân hàng
35BB86CB,Tài chính / Đầu tư
35BB86CD,Bán lẻ / Bán sỉ
35BB86CD,Hàng gia dụng / Chăm sóc cá nhân
35BB86CD,Kế toán / Kiểm toán
35BB8697,Điện / Điện tử / Điện lạnh
35BB8697,Xuất nhập khẩu
35BB8697,Thu mua / Vật tư
35BB86D2,Unknown
35BB86CF,Unknown
35BB86D1,Mỹ thuật / Nghệ thuật / Thiết kế
35BB86D1,Kiến trúc
35BB86D1,Xây dựng
35BB86D3,Ngân hàng
35BB86D3,Tài chính / Đầu tư
35BB86D5,Điện / Điện tử / Điện lạnh
35BB86D5,Bảo trì / Sửa chữa
35BB86D7,Mỹ thuật / Nghệ thuật / Thiết kế
35BB86D7,Kiến trúc
35BB86D7,Xây dựng
35BB86C3,Bán hàng / Kinh doanh
35BB86C3,Dịch vụ khách hàng
35BB86C3,Ngân hàng
35BB86D6,Ngân hàng
35BB86D6,Tài chính / Đầu tư
35BB8504,Tiếp thị / Marketing
35BB8504,Bán lẻ / Bán sỉ
35BB8504,Bán hàng / Kinh doanh
35BB86C4,Bán hàng / Kinh doanh
35BB86C4,Dịch vụ khách hàng
35BB86C4,Ngân hàng
35BB86C9,Bán hàng / Kinh doanh
35BB86C9,Dịch vụ khách hàng
35BB86C9,Ngân hàng
35BB86A2,Luật / Pháp lý
35BB86A2,Ngân hàng
35BB86A2,Tài chính / Đầu tư
35BB8691,Quản lý điều hành
35BB8691,Nhân sự
35BB8691,Quản lý chất lượng (QA/QC)
35BB86C5,Bán hàng / Kinh doanh
35BB86C5,Dịch vụ khách hàng
35BB86C5,Ngân hàng
35BB86D4,Ngân hàng
35BB86D4,Tài chính / Đầu tư
35BB8693,Dịch vụ khách hàng
35BB8693,Ngân hàng
35BB8693,Tài chính / Đầu tư
35BB8690,Điện / Điện tử / Điện lạnh
35BB8690,Sản xuất / Vận hành sản xuất
35BB8690,Xây dựng
35BB86C6,Bán hàng / Kinh doanh
35BB86C6,Dịch vụ khách hàng
35BB86C6,Ngân hàng
35BB8696,Bán hàng / Kinh doanh
35BB8696,Dịch vụ khách hàng
35BB8696,Ngân hàng
35BB8699,Tiếp thị / Marketing
35BB8699,Tiếp thị trực tuyến
35BB8699,Truyền hình / Báo chí / Biên tập
35BB84C9,Dịch vụ khách hàng
35BB84C9,Hành chính / Thư ký
35BB84C9,Nhân sự
35BB8657,Mới tốt nghiệp / Thực tập
35BB8657,Truyền hình / Báo chí / Biên tập
35BB868F,Unknown
35BB8694,Tiếp thị / Marketing
35BB8694,Bán hàng / Kinh doanh
35BB8695,Unknown
35BB869C,Tiếp thị / Marketing
35BB869C,Bán hàng / Kinh doanh
35BB869C,Giáo dục / Đào tạo
35BB86A1,CNTT - Phần mềm
35BB86A1,Ngân hàng
35BB86A1,Tài chính / Đầu tư
35BB869D,Tiếp thị / Marketing
35BB869D,Mỹ thuật / Nghệ thuật / Thiết kế
35BB869E,Ngân hàng
35BB869E,Tài chính / Đầu tư
35BB869F,Kế toán / Kiểm toán
35BB869F,Ngân hàng
35BB8687,Unknown
35BB866C,Hành chính / Thư ký
35BB866C,Nhân sự
35BB869B,Unknown
35BB865C,CNTT - Phần mềm
35BB865C,CNTT - Phần cứng / Mạng
35BB865C,Ngành khác
35BB864E,Luật / Pháp lý
35BB864E,Ngân hàng
35BB864E,Tài chính / Đầu tư
35BB854F,Bán lẻ / Bán sỉ
35BB854F,Bán hàng / Kinh doanh
35BB854F,Du lịch
35BB865A,Bán lẻ / Bán sỉ
35BB865A,Bán hàng / Kinh doanh
35BB8661,Tiếp thị / Marketing
35BB8661,Tiếp thị trực tuyến
35BB8661,Quảng cáo / Đối ngoại / Truyền Thông
35BB865D,Unknown
35BB8662,Thực phẩm & Đồ uống
35BB868C,Bán hàng / Kinh doanh
35BB868C,Tư vấn
35BB868C,Dịch vụ khách hàng
35BB865B,Kế toán / Kiểm toán
35BB865B,Xây dựng
35BB865F,Xuất nhập khẩu
35BB865F,Thu mua / Vật tư
35BB8659,Luật / Pháp lý
35BB8659,Hành chính / Thư ký
35BB8659,Nhân sự
35BB8663,Bán lẻ / Bán sỉ
35BB8663,Bán hàng / Kinh doanh
35BB8663,Quản lý điều hành
35BB8666,Bán lẻ / Bán sỉ
35BB8666,Bán hàng / Kinh doanh
35BB8666,Tiếp thị trực tuyến
35BB8669,Giáo dục / Đào tạo
35BB8669,Quản lý điều hành
35BB8669,Nhân sự
35BB8561,Kế toán / Kiểm toán
35BB8561,Tài chính / Đầu tư
35BB8668,Bán lẻ / Bán sỉ
35BB8668,Bán hàng / Kinh doanh
35BB8658,Xuất nhập khẩu
35BB8658,Thu mua / Vật tư
35BB8664,Tài chính / Đầu tư
35BB8627,Unknown
35BB866B,Bán lẻ / Bán sỉ
35BB866B,Bán hàng / Kinh doanh
35BB866B,Quản lý điều hành
35BB85D4,Vận chuyển / Giao nhận /  Kho vận
35BB85D4,Kế toán / Kiểm toán
35BB85D4,Xuất nhập khẩu
35BB8629,Quản lý điều hành
35BB8629,Nhân sự
