job_id,job_tags
35BB8C26,kế toán công nợ
35BB8C26,Nhân viên kế toán
35BB8C26,Chuyên viên kế toán
35BB8C1A,Purchasing
35BB8C1A,Nhân viên mua hàng  Staff
35BB8C1A,Associates  Accountant
35BB8C1A,Staff/ Executive/ Supervisor/ Manager
35BB8C1A,purchasing staff
35BB8C1A,Executive
35BB8C1A,manager
35BB8C1A,Coordinator
35BB8C1A,Supervisor
35BB8C1A,officier
35BB8C17,[ĐÀ NẴNG] NHÂN VIÊN KINH DOANH Ô TÔ TẢI - THU NHẬP LÊN ĐẾN TR
35BB8C17,Đại diện kinh doanh
35BB8C17,Nhân viên phòng kinh doanh
35BB8C17,Nhân viên bán hàng
35BB8C17,Đại diện bán hàng
35BB8C17,Telesales
35BB8C17,Salesman
35BB8C17,Sales Engineer
35BB8C17,Sales Executive
35BB8C17,Chuyên Viên Kinh Doanh
35BB8C17,Sales Dept
35BB8C1B,Quản lý giám sát kinh doanh
35BB8C1B,Giám sát kinh doanh khu vực
35BB8C1B,Quản lý vùng
35BB8C1B,Giám đốc bán hàng khu vực ASM
35BB8C1B,International Regional Sales Manager
35BB8C1B,Sales Force Manager
35BB8C1B,Sales Manager
35BB8C1B,Giám đốc kinh doanh
35BB8C1B,Sales Director
35BB8C1B,Giám đốc kinh doanh khu vực
35BB8C21,Thư ký công trường
35BB8C21,Project manager
35BB8C21,Site Secretary
35BB8C1D,Unknown
35BB8C1F,Unknown
35BB8C20,Chuyên viên phụ trách xuất nhập khẩu
35BB8C20,Delivery DepartmentImport and Export Assistant
35BB8C20,Nhân viên giao nhận quốc tế quốc nội
35BB8C20,Air Craft Service Staff
35BB8C20,Nhân viên hiện trường giao nhận XNK
35BB8C20,Nhân viên giao nhận
35BB8C20,Sales Logistics
35BB8C20,Logistics General Manager
35BB8C20,Logistics Staff
35BB8C22,Unknown
35BB8C1C,General Accountant
35BB8C1C,kế toán
35BB8C1C,Kế toán tổng hợp
35BB8C1C,Nhân viên kế toán tổng hợp
35BB8C24,Deputy Head of Office
35BB8C25,Unknown
35BB63C0,Nhân viên tiếp tân
35BB63C0,Lễ tân
35BB63C0,Reception
35BB63C0,Lễ tân nhà hàng
35BB63C0,Lễ tân khách sạn
35BB63C0,Lễ tân quầy sảnh
35BB63C0,Receptionist
35BB63C0,Nhân viên thư ký lễ tân
35BB63C0,kiêm trợ lý văn phòng
35BB63C0,tổng đài
35BB8C23,Unknown
35BB8C0B,Nhân viên kinh doanh
35BB8C0B,Nhân viên bán hàng
35BB8C0B,Saler
35BB8C0B,Salesman
35BB8C0B,Sales Representative
35BB8C0B,Đại diện kinh doanh
35BB8C0B,Đại diện bán hàng
35BB8C0B,chăm sóc khách hàng
35BB8C0B,Nhân Viên Kinh Doanh Xuất Nhập Khẩu ***
35BB8B11,Chuyên viên tư vấn
35BB8B11,Tư vấn viên
35BB8B11,Consultant
35BB8B11,Counsellor
35BB8B11,Consultant Executive
35BB8C12,Giáo Viên Tiếng Anh Part Time/ Full Time BIÊN HÒA ĐỒNG NAI
35BB8C12,English Teacher
35BB8C12,giáo viên anh ngữ
35BB8C12,giáo viên anh văn
35BB8C12,English Teaching
35BB8C12,Teacher of English
35BB8C12,`giáo vien tieng anh bien hoa
35BB8C12,giao vien tieng anh thieu nhi bien hoa
35BB8C15,Kinh doanh
35BB8C15,Bán hàng
35BB8C14,Tài chính doanh nghiệp
35BB8C14,Tài chính đầu tư
35BB8C14,Kế toán
35BB8C14,Kiểm toán
35BB8C16,Nhân viên y tế Làm việc tại Campuchia
35BB8C16,Chăm sóc sức khỏe
35BB8C16,Y tế
35BB8BF9,Unknown
35BB8BFB,Unknown
35BB8C07,Purchasing
35BB8C07,Nhân viên mua hàng  Staff
35BB8C07,Associates  Accountant
35BB8C07,Staff/ Executive/ Supervisor/ Manager
35BB8C07,purchasing staff
35BB8C07,Executive
35BB8C07,specialist
35BB8C07,Coordinator
35BB8C07,Supervisor
35BB8C07,officier
35BB8BFA,Unknown
35BB8BFC,Unknown
35BB8BFF,Chuyên viên sự kiện
35BB8BFF,Nhân viên phụ trách sự kiện
35BB8BFD,Sales Trainer
35BB8BFD,Sales Capability
35BB8BFD,Sales Training
35BB8BF4,Unknown
35BB8B6E,HOT- Thư ký dự án  Xây dựng
35BB8B6E,Thư ký công trường
35BB8B6E,Project manager
35BB8B6E,Site Secretary
35BB8BF8,Unknown
35BB8961,nhân viên thiểt kế d
35BB8961,Designer
35BB8961,Chuyên viên thiết kế
35BB8C00,Chuyên viên tài chính
35BB8C00,Finance Specialist
35BB8C00,finance excutive
35BB8BF2,Unknown
35BB8BF6,Unknown
35BB894F,Designer
35BB894F,Chuyên viên thiết kế
35BB8BF5,NHÂN VIÊN KINH DOANH GẤP
35BB8BF5,Đại diện kinh doanh
35BB8BF5,Nhân viên phòng kinh doanh
35BB8BF5,Nhân viên bán hàng
35BB8BF5,Đại diện bán hàng
35BB8BF5,Telesales
35BB8BF5,Salesman
35BB8BF5,Sales Engineer
35BB8BF5,Sales Executive
35BB8BF5,Chuyên Viên Kinh Doanh
35BB8BF5,Sales Dept
35BB8BF5,nhân viên kinh doanh
35BB8C02,Unknown
35BB8C04,Nhân viên chăm sóc khách hàng GẤP
35BB8C04,Nhân viên dịch vụ khách hàng
35BB8C04,Customer care staff
35BB8C04,Customer service staff
35BB8C04,Customer service executive
35BB8C04,Nhân viên hỗ trợ khách hàng
35BB8C04,Customer service representative
35BB8C04,Customer services
35BB8C04,trực tổng đài
35BB8C06,TRƯỞNG PHÒNG MARKETING MARKETING MANAGER
35BB8C06,Makerting Manager
35BB8C06,Giám đốc tiếp thị
35BB8C06,Giám đốc Marketing
35BB8C06,Makerting Director
35BB8C06,Giám đốc truyền thông & tiếp thị
35BB8C06,Giám sát tiếp thị
35BB8C06,Marketing Supervisor
35BB8BD0,Unknown
35BB8BB7,NHÂN VIÊN KHO kiêm KIỂM TRA CHẤT LƯỢNG GỌNG KÍNH HĐ  tháng
35BB8BB7,Quản lý chất lượng
35BB8C03,Sales Chemical - Surface Treatment
35BB8C03,nhân viên kinh doanh
35BB8C03,Chuyên viên kinh doanh
35BB8C03,Sales Engineer
35BB8C03,Technical Sales Engineer
35BB8C03,Chemical
35BB8C03,Nhân viên Sales hóa chất
35BB8BA3,Trưởng bộ phân HCNS Nhà máy.
35BB8BA3,Thư ký HĐQT kiêm Thư ký giám đốc
35BB8BA3,Associate Research Director
35BB8BA3,Assistant Training Manager
35BB8BA3,Assistant Store Manager
35BB8BA3,Assistant Marketing Manager
35BB8BA3,Assistant Key Account Manager
35BB8BA3,Assistant Customer Marketing Manager
35BB8BA3,Trợ lý giám sát bán hàng
35BB8BA3,Trợ lý trưởng phòng kinh doanh
35BB8BA3,Trợ lý nghiệp vụ
35BB8BC1,[ Cầu Giấy Hà Nội ] - Financial Advisory Assistant manager  - Up to  -
35BB8BC1,Trợ lý giám đốc
35BB8BC1,Assistant Director
35BB8B90,Kỹ thuật viên
35BB8B90,Technician
35BB8B5F,SOP
35BB8BC2,WAREHOUSE MANAGER BINH DINH
35BB8BC2,Quản lý kho
35BB8BC2,Trưởng nhóm kho hàng
35BB8BC7,Xuất nhập khẩu
35BB8BC7,Logistic
35BB8BC0,Kế toán tổng hợp trong lĩnh vực xuất nhập khẩu
35BB8BC0,Kế toán quản trị nội bộ
35BB8BC0,Management Accountant
35BB8BC0,kiêm kế toán tổng hợp
35BB8BC0,Management Accounting Manager
35BB8BC3,Kỹ thuật viên Công nghệ
35BB8BC3,Chuyên viên Công nghệ
35BB8BC3,kỹ thuật
35BB8BC3,công nghệ thực phẩm
35BB8BC3,hóa
35BB8BC3,Chuyên viên Công nghệ Làm việc tại Lào
35BB8BC9,Hành chính nhân sự
35BB8BC9,Thư ký
35BB8BC4,Kỹ sư cơ khí
35BB8BC4,Mechanical Engineer
35BB8BC4,Kỹ sư cơ giới
35BB8BC4,chế tạo máy
35BB8BC4,Chuyên viên cơ khí
