City,job_id,company_id
Hồ Chí Minh,35BB8C26,C00014
Hồ Chí Minh,35BB8C1A,C02028
Đà Nẵng,35BB8C17,C00943
Hồ Chí Minh,35BB8C1B,C02028
Hồ Chí Minh,35BB8C21,C02028
Hồ Chí Minh,35BB8C1D,C02028
Hà Nam,35BB8C1F,C00564
Hồ Chí Minh,35BB8C20,C02029
Đà Nẵng,35BB8C20,C02029
Đồng Nai,35BB8C20,C02029
Hà Nội,35BB8C22,C01809
Hồ Chí Minh,35BB8C1C,C00102
Hồ Chí Minh,35BB8C24,C02028
Hồ Chí Minh,35BB8C25,C01304
Hà Nội,35BB63C0,C01031
Hà Nội,35BB8C23,C01809
Hồ Chí Minh,35BB8C0B,C02030
Hà Nội,35BB8B11,C02031
Đồng Nai,35BB8C12,C02032
Hồ Chí Minh,35BB8C15,C01021
Hồ Chí Minh,35BB8C14,C01021
Kratie,35BB8C16,C01021
Sóc Trăng,35BB8C16,C01021
Trà Vinh,35BB8C16,C01021
Hồ Chí Minh,35BB8BF9,C00906
Hà Nội,35BB8BFB,C00906
Hồ Chí Minh,35BB8BFB,C00906
Hồ Chí Minh,35BB8C07,C00244
Hà Nội,35BB8BFA,C00906
Hồ Chí Minh,35BB8BFA,C00906
Hồ Chí Minh,35BB8BFC,C00906
Hồ Chí Minh,35BB8BFF,C00043
Hồ Chí Minh,35BB8BFD,C00422
Hồ Chí Minh,35BB8BF4,C00906
Hồ Chí Minh,35BB8B6E,C02033
Bình Dương,35BB8BF8,C01325
Hồ Chí Minh,35BB8961,C02034
Hồ Chí Minh,35BB8C00,C00782
Hồ Chí Minh,35BB8BF2,C00906
Hà Nội,35BB8BF6,C01003
Hồ Chí Minh,35BB894F,C02034
Hà Nội,35BB8BF5,C02035
Hồ Chí Minh,35BB8C02,C01433
Hồ Chí Minh,35BB8C04,C02035
Hồ Chí Minh,35BB8C06,C01927
Hà Nội,35BB8BD0,C01003
Hồ Chí Minh,35BB8BB7,C02036
Hồ Chí Minh,35BB8C03,C01621
Quảng Ninh,35BB8BA3,C00163
Hà Nội,35BB8BC1,C00941
Bình Dương,35BB8B90,C02037
Hồ Chí Minh,35BB8B5F,C01785
Bình Định,35BB8BC2,C00480
Hồ Chí Minh,35BB8BC7,C01021
Hồ Chí Minh,35BB8BC0,C02038
Attapeu,35BB8BC3,C01021
Hồ Chí Minh,35BB8BC3,C01021
