job_id,outstanding_welfare
35BB8C26,Chế độ bảo hiểm
35BB8C26,Du Lịch
35BB8C26,Chế độ thưởng
35BB8C1A,Laptop
35BB8C1A,Chế độ bảo hiểm
35BB8C1A,Du Lịch
35BB8C17,Chế độ bảo hiểm
35BB8C17,Du Lịch
35BB8C17,Chế độ thưởng
35BB8C1B,Laptop
35BB8C1B,Chế độ bảo hiểm
35BB8C1B,Du Lịch
35BB8C21,Laptop
35BB8C21,Chế độ bảo hiểm
35BB8C21,Du Lịch
35BB8C1D,Laptop
35BB8C1D,Chế độ bảo hiểm
35BB8C1D,Du Lịch
35BB8C1F,Chế độ bảo hiểm
35BB8C1F,Chế độ thưởng
35BB8C1F,Chăm sóc sức khỏe
35BB8C20,Laptop
35BB8C20,Chế độ bảo hiểm
35BB8C20,Du Lịch
35BB8C22,Laptop
35BB8C22,Chế độ bảo hiểm
35BB8C22,Du Lịch
35BB8C1C,Chế độ bảo hiểm
35BB8C1C,Du Lịch
35BB8C1C,Chế độ thưởng
35BB8C24,Laptop
35BB8C24,Chế độ bảo hiểm
35BB8C24,Du Lịch
35BB8C25,Chế độ bảo hiểm
35BB8C25,Du Lịch
35BB8C25,Phụ cấp
35BB63C0,Chế độ bảo hiểm
35BB63C0,Du Lịch
35BB63C0,Phụ cấp
35BB8C23,Laptop
35BB8C23,Chế độ bảo hiểm
35BB8C23,Du Lịch
35BB8C0B,Chế độ bảo hiểm
35BB8C0B,Du Lịch
35BB8C0B,Phụ cấp
35BB8B11,Chế độ bảo hiểm
35BB8B11,Du Lịch
35BB8B11,Phụ cấp
35BB8C12,Chế độ bảo hiểm
35BB8C12,Du Lịch
35BB8C12,Chế độ thưởng
35BB8C15,Laptop
35BB8C15,Chế độ bảo hiểm
35BB8C15,Du Lịch
35BB8C14,Laptop
35BB8C14,Chế độ bảo hiểm
35BB8C14,Du Lịch
35BB8C16,Laptop
35BB8C16,Chế độ bảo hiểm
35BB8C16,Du Lịch
35BB8BF9,Laptop
35BB8BF9,Chế độ bảo hiểm
35BB8BF9,Du Lịch
35BB8BFB,Laptop
35BB8BFB,Chế độ bảo hiểm
35BB8BFB,Du Lịch
35BB8C07,Chế độ bảo hiểm
35BB8C07,Du Lịch
35BB8C07,Chế độ thưởng
35BB8BFA,Laptop
35BB8BFA,Chế độ bảo hiểm
35BB8BFA,Du Lịch
35BB8BFC,Chế độ bảo hiểm
35BB8BFC,Du Lịch
35BB8BFC,Chế độ thưởng
35BB8BFF,Chế độ bảo hiểm
35BB8BFF,Du Lịch
35BB8BFF,Chế độ thưởng
35BB8BFD,Laptop
35BB8BFD,Chế độ bảo hiểm
35BB8BFD,Du Lịch
35BB8BF4,Laptop
35BB8BF4,Chế độ bảo hiểm
35BB8BF4,Du Lịch
35BB8B6E,Chế độ bảo hiểm
35BB8B6E,Du Lịch
35BB8B6E,Phụ cấp
35BB8BF8,Laptop
35BB8BF8,Chế độ bảo hiểm
35BB8BF8,Du Lịch
35BB8961,Laptop
35BB8961,Chế độ bảo hiểm
35BB8961,Du Lịch
35BB8C00,Laptop
35BB8C00,Chế độ bảo hiểm
35BB8C00,Du Lịch
35BB8BF2,Laptop
35BB8BF2,Chế độ bảo hiểm
35BB8BF2,Du Lịch
35BB8BF6,Laptop
35BB8BF6,Chế độ bảo hiểm
35BB8BF6,Du Lịch
35BB894F,Laptop
35BB894F,Chế độ bảo hiểm
35BB894F,Du Lịch
35BB8BF5,Laptop
35BB8BF5,Chế độ bảo hiểm
35BB8BF5,Du Lịch
35BB8C02,Unknown
35BB8C04,Laptop
35BB8C04,Chế độ bảo hiểm
35BB8C04,Du Lịch
35BB8C06,Laptop
35BB8C06,Chế độ bảo hiểm
35BB8C06,Du Lịch
35BB8BD0,Chế độ bảo hiểm
35BB8BD0,Du Lịch
35BB8BD0,Chế độ thưởng
35BB8BB7,Chế độ bảo hiểm
35BB8BB7,Du Lịch
35BB8BB7,Phụ cấp
35BB8C03,Du Lịch
35BB8C03,Chế độ thưởng
35BB8C03,Chăm sóc sức khỏe
35BB8BA3,Laptop
35BB8BA3,Chế độ bảo hiểm
35BB8BA3,Du Lịch
35BB8BC1,Laptop
35BB8BC1,Chế độ bảo hiểm
35BB8BC1,Du Lịch
35BB8B90,Chế độ bảo hiểm
35BB8B90,Du Lịch
35BB8B90,Phụ cấp
35BB8B5F,Laptop
35BB8B5F,Chế độ bảo hiểm
35BB8B5F,Du Lịch
35BB8BC2,Laptop
35BB8BC2,Chế độ bảo hiểm
35BB8BC2,Phụ cấp
35BB8BC7,Laptop
35BB8BC7,Chế độ bảo hiểm
35BB8BC7,Du Lịch
35BB8BC0,Chế độ bảo hiểm
35BB8BC0,Chế độ thưởng
35BB8BC0,Chăm sóc sức khỏe
35BB8BC3,Chế độ bảo hiểm
35BB8BC3,Phụ cấp
35BB8BC3,Đồng phục
35BB8BC9,Laptop
35BB8BC9,Chế độ bảo hiểm
35BB8BC9,Du Lịch
35BB8BC4,Chế độ bảo hiểm
35BB8BC4,Phụ cấp
35BB8BC4,Xe đưa đón
35BB8BC8,Chế độ bảo hiểm
35BB8BC8,Du Lịch
35BB8BC8,Phụ cấp
35BB8BC6,Laptop
35BB8BC6,Chế độ bảo hiểm
35BB8BC6,Du Lịch
35BB8BC5,Laptop
35BB8BC5,Chế độ bảo hiểm
35BB8BC5,Du Lịch
35BB8BCB,Laptop
35BB8BCB,Chế độ bảo hiểm
35BB8BCB,Du Lịch
35BB8BCA,Laptop
35BB8BCA,Chế độ bảo hiểm
35BB8BCA,Du Lịch
35BB8BCC,Laptop
35BB8BCC,Chế độ bảo hiểm
35BB8BCC,Du Lịch
35BB8BCD,Laptop
35BB8BCD,Chế độ bảo hiểm
35BB8BCD,Du Lịch
35BB8B82,Laptop
35BB8B82,Chế độ bảo hiểm
35BB8B82,Du Lịch
35BB8BCF,Laptop
35BB8BCF,Chế độ bảo hiểm
35BB8BCF,Du Lịch
35BB8B88,Unknown
35BB8376,Chế độ bảo hiểm
35BB8376,Du Lịch
35BB8376,Chế độ thưởng
35BB8B86,Laptop
35BB8B86,Chế độ bảo hiểm
35BB8B86,Du Lịch
35BB8B89,Chế độ bảo hiểm
35BB8B89,Du Lịch
35BB8B89,Phụ cấp
